state_code,period_start,period_end,period_type,operator_raw,operator_reported,operator_standard,parent_company,channel,sport_category,handle,gross_revenue,standard_ggr,promo_credits,net_revenue,payouts,tax_paid,federal_excise_tax,hold_pct,days_in_period,is_partial_period,data_is_revised,source_file,source_sheet,source_row,source_column,source_page,source_table_index,source_url,source_report_url,source_screenshot,source_raw_line,source_context,scrape_timestamp
AZ,2021-09-01,2021-09-30,monthly,BetMGM,BetMGM,BetMGM,Entain/MGM Resorts,retail,,0,0,0,0,0,0,0,0,,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"BetMGM $ - $ 58,918,282.65 $ - $ 48,191,351.30 $ - $ 10,612,668.25 $ - $ 10,612,668.25 $ - $ - $ - $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,BetMGM,BetMGM,BetMGM,Entain/MGM Resorts,online,,5891828265,1061266825,1072693135,1061266825,0,4819135130,0,11426310,0.18012521364622633,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"BetMGM $ - $ 58,918,282.65 $ - $ 48,191,351.30 $ - $ 10,612,668.25 $ - $ 10,612,668.25 $ - $ - $ - $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,Caesars (American Wagering),Caesars,Caesars,Caesars Entertainment,retail,,84079710,11496856,11707055,0,11496856,72372655,919748,210199,0.1367375791377016,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"Caesars (American Wagering) $ 8 40,797.10 $ 42,172,453.39 $ 723,726.55 $ 38,443,230.37 $ 114,968.56 $ 3,623,791.89 $ - $ 3,623,791.89 $ 114,968.56 $ - $ 9,197.48 $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,Caesars (American Wagering),Caesars,Caesars,Caesars Entertainment,online,,4217245339,362379189,372922302,362379189,0,3844323037,0,10543113,0.08592793633531597,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"Caesars (American Wagering) $ 8 40,797.10 $ 42,172,453.39 $ 723,726.55 $ 38,443,230.37 $ 114,968.56 $ 3,623,791.89 $ - $ 3,623,791.89 $ 114,968.56 $ - $ 9,197.48 $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,Churchill Downs/Twin Spires,TwinSpires,TwinSpires,Churchill Downs Inc,retail,,0,0,0,0,0,0,0,0,,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"Churchill Downs/Twin Spires $ - $ 489,556.40 $ - $ 460,525.95 $ - $ 27,806.56 $ - $ 27,806.56 $ - $ - $ - $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,Churchill Downs/Twin Spires,TwinSpires,TwinSpires,Churchill Downs Inc,online,,48955640,2780656,2903045,2780656,0,46052595,0,122389,0.05679950257008181,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"Churchill Downs/Twin Spires $ - $ 489,556.40 $ - $ 460,525.95 $ - $ 27,806.56 $ - $ 27,806.56 $ - $ - $ - $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,Draft Kings/Crown Gaming,DraftKings,DraftKings,DraftKings Inc,retail,,0,0,0,0,0,0,0,0,,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"Draft Kings/Crown Gaming $ - $ 97,726,411.17 $ - $ 85,022,290.16 $ - $ 12,459,804.98 $ - $ 12,459,804.98 $ - $ - $ - $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,Draft Kings/Crown Gaming,DraftKings,DraftKings,DraftKings Inc,online,,9772641117,1245980498,1270412101,1245980498,0,8502229016,0,24431603,0.12749680286862825,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"Draft Kings/Crown Gaming $ - $ 97,726,411.17 $ - $ 85,022,290.16 $ - $ 12,459,804.98 $ - $ 12,459,804.98 $ - $ - $ - $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,Fan Duel,FanDuel,FanDuel,Flutter Entertainment,retail,,224349200,31606127,32167000,3861200,27744927,192182200,2219594,560873,0.1408791607012639,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"Fan Duel $ 2 ,243,492.00 $ 57,927,039.02 $ 1,921,822.00 $ 57,653,812.25 $ 316,061.27 $ 145,737.57 $ 38,612.00 $ 145,737.57 $ 277,449.27 $ - $ 22,195.94 $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,Fan Duel,FanDuel,FanDuel,Flutter Entertainment,online,,5792703902,14573757,27322677,14573757,0,5765381225,0,12748920,0.002515881572156353,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"Fan Duel $ 2 ,243,492.00 $ 57,927,039.02 $ 1,921,822.00 $ 57,653,812.25 $ 316,061.27 $ 145,737.57 $ 38,612.00 $ 145,737.57 $ 277,449.27 $ - $ 22,195.94 $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,Penn Sports (Barstool Sports),ESPN Bet,ESPN Bet,PENN Entertainment,retail,,0,0,0,0,0,0,0,0,,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"Penn Sports (Barstool Sports) $ - $ 13,045,514.00 $ - $ 12,179,486.12 $ - $ 833,414.09 $ - $ 833,414.09 $ - $ - $ - $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,Penn Sports (Barstool Sports),ESPN Bet,ESPN Bet,PENN Entertainment,online,,1304551400,83341409,86602788,83341409,0,1217948612,0,3261379,0.06388510947134778,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"Penn Sports (Barstool Sports) $ - $ 13,045,514.00 $ - $ 12,179,486.12 $ - $ 833,414.09 $ - $ 833,414.09 $ - $ - $ - $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,Unibet AZ (Kindred),Unibet,Unibet,Kindred Group,retail,,0,0,0,0,0,0,0,0,,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"Unibet AZ (Kindred) $ - $ 420,983.37 $ - $ 403,833.63 $ - $ 16,251.94 $ - $ 16,251.94 $ - $ - $ - $ -",,2026-04-01T21:01:23.263660
AZ,2021-09-01,2021-09-30,monthly,Unibet AZ (Kindred),Unibet,Unibet,Kindred Group,online,,42098337,1625194,1714974,1625194,0,40383363,0,89780,0.03860470782967033,30,False,False,AZ_2021_09.pdf,,,,,,https://gaming.az.gov/sites/default/files/EW%20Website%20Report%20-%20Sept%202021.pdf,https://gaming.az.gov/resources/reports,AZ/screenshots/AZ_2021_09_AZ_2021_09_p1.png,"Unibet AZ (Kindred) $ - $ 420,983.37 $ - $ 403,833.63 $ - $ 16,251.94 $ - $ 16,251.94 $ - $ - $ - $ -",,2026-04-01T21:01:23.263660
