state_code,period_start,period_end,period_type,operator_raw,operator_reported,operator_standard,parent_company,channel,sport_category,handle,gross_revenue,standard_ggr,promo_credits,net_revenue,payouts,tax_paid,federal_excise_tax,hold_pct,days_in_period,is_partial_period,data_is_revised,source_file,source_sheet,source_row,source_column,source_page,source_table_index,source_url,source_report_url,source_screenshot,source_raw_line,source_context,scrape_timestamp
CT,2021-10-01,2021-10-31,monthly,"MPI Master Wagering License CT, LLC",DraftKings (CT),DraftKings,DraftKings Inc,online,,2377025000,356037000,365316400,89009200,267027700,2011708600,36716300,5342700,0.1497826064092721,31,False,False,https://data.ct.gov/resource/xf6g-659c.json,,1,,,,,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,,"{'licensee': 'MPI Master Wagering License CT, LLC', 'fiscal_year': '2021/22', 'month_ending': '2021-10-31T00:00:00.000', 'wagers': '23770250', 'patron_winnings': '20117086', 'cancelled_wagers': '43488', 'monthly_resettlements': '-4121', 'online_sports_wagering_win': '3613797', 'federal_excise_tax_3': '53427', 'unadjusted_monthly_gaming': '3560370', 'promotional_coupons_or_credits': '2119449', 'promotional_deduction_5': '890092', 'total_gross_gaming': '2670277', 'tax_payment_6': '367163', 'notes': '8,9'}","{""headers"": [""licensee"", ""fiscal_year"", ""month_ending"", ""wagers"", ""patron_winnings"", ""cancelled_wagers"", ""monthly_resettlements"", ""online_sports_wagering_win"", ""federal_excise_tax_3"", ""unadjusted_monthly_gaming""], ""rows"": [[""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-10-31T00:00:00.000"", ""23770250"", ""20117086"", ""43488"", ""-4121"", ""3613797"", ""53427"", ""3560370""], [""Mohegan Digital, LLC"", ""2021/22"", ""2021-10-31T00:00:00.000"", ""27082842"", ""26047082"", ""102765"", ""58834"", ""874160"", ""61453"", ""812707""], [""CT Lottery Corp"", ""2021/22"", ""2021-10-31T00:00:00.000"", ""3246536"", ""2901339"", ""41418"", ""10047"", ""293732"", ""8013"", ""285720""]], ""highlight"": 0}",2026-03-28T18:44:25.414525
CT,2021-10-01,2021-10-31,monthly,"Mohegan Digital, LLC",FanDuel (CT),FanDuel,Flutter Entertainment,online,,2708284200,81270700,103576000,20317700,60953000,2604708200,8381000,6145300,0.030008187471610253,31,False,False,https://data.ct.gov/resource/xf6g-659c.json,,2,,,,,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,,"{'licensee': 'Mohegan Digital, LLC', 'fiscal_year': '2021/22', 'month_ending': '2021-10-31T00:00:00.000', 'wagers': '27082842', 'patron_winnings': '26047082', 'cancelled_wagers': '102765', 'monthly_resettlements': '58834', 'online_sports_wagering_win': '874160', 'federal_excise_tax_3': '61453', 'unadjusted_monthly_gaming': '812707', 'promotional_coupons_or_credits': '2398934', 'promotional_deduction_5': '203177', 'total_gross_gaming': '609530', 'tax_payment_6': '83810'}","{""headers"": [""licensee"", ""fiscal_year"", ""month_ending"", ""wagers"", ""patron_winnings"", ""cancelled_wagers"", ""monthly_resettlements"", ""online_sports_wagering_win"", ""federal_excise_tax_3"", ""unadjusted_monthly_gaming""], ""rows"": [[""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-10-31T00:00:00.000"", ""23770250"", ""20117086"", ""43488"", ""-4121"", ""3613797"", ""53427"", ""3560370""], [""Mohegan Digital, LLC"", ""2021/22"", ""2021-10-31T00:00:00.000"", ""27082842"", ""26047082"", ""102765"", ""58834"", ""874160"", ""61453"", ""812707""], [""CT Lottery Corp"", ""2021/22"", ""2021-10-31T00:00:00.000"", ""3246536"", ""2901339"", ""41418"", ""10047"", ""293732"", ""8013"", ""285720""], [""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""60031024"", ""52870165"", ""164994"", ""28431"", ""6967434"", ""143877"", ""6823557""]], ""highlight"": 1}",2026-03-28T18:44:25.414525
CT,2021-10-01,2021-10-31,monthly,CT Lottery Corp,CT Lottery,Fanatics,Fanatics Inc,online,,324653600,28572000,34519700,7143000,21429000,290133900,2946500,801300,0.08800764876779435,31,False,False,https://data.ct.gov/resource/xf6g-659c.json,,3,,,,,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,,"{'licensee': 'CT Lottery Corp', 'fiscal_year': '2021/22', 'month_ending': '2021-10-31T00:00:00.000', 'wagers': '3246536', 'patron_winnings': '2901339', 'cancelled_wagers': '41418', 'monthly_resettlements': '10047', 'online_sports_wagering_win': '293732', 'federal_excise_tax_3': '8013', 'unadjusted_monthly_gaming': '285720', 'promotional_coupons_or_credits': '404431', 'promotional_deduction_5': '71430', 'total_gross_gaming': '214290', 'tax_payment_6': '29465'}","{""headers"": [""licensee"", ""fiscal_year"", ""month_ending"", ""wagers"", ""patron_winnings"", ""cancelled_wagers"", ""monthly_resettlements"", ""online_sports_wagering_win"", ""federal_excise_tax_3"", ""unadjusted_monthly_gaming""], ""rows"": [[""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-10-31T00:00:00.000"", ""23770250"", ""20117086"", ""43488"", ""-4121"", ""3613797"", ""53427"", ""3560370""], [""Mohegan Digital, LLC"", ""2021/22"", ""2021-10-31T00:00:00.000"", ""27082842"", ""26047082"", ""102765"", ""58834"", ""874160"", ""61453"", ""812707""], [""CT Lottery Corp"", ""2021/22"", ""2021-10-31T00:00:00.000"", ""3246536"", ""2901339"", ""41418"", ""10047"", ""293732"", ""8013"", ""285720""], [""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""60031024"", ""52870165"", ""164994"", ""28431"", ""6967434"", ""143877"", ""6823557""], [""Mohegan Digital, LLC"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""58999340"", ""50751107"", ""127550"", ""30748"", ""8089935"", ""140366"", ""7949569""]], ""highlight"": 2}",2026-03-28T18:44:25.414525
CT,2021-11-01,2021-11-30,monthly,"MPI Master Wagering License CT, LLC",DraftKings (CT),DraftKings,DraftKings Inc,online,,6003102400,682355700,716085900,170588900,511766700,5287016500,70367900,14387700,0.1136671764919419,30,False,False,https://data.ct.gov/resource/xf6g-659c.json,,4,,,,,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,,"{'licensee': 'MPI Master Wagering License CT, LLC', 'fiscal_year': '2021/22', 'month_ending': '2021-11-30T00:00:00.000', 'wagers': '60031024', 'patron_winnings': '52870165', 'cancelled_wagers': '164994', 'monthly_resettlements': '28431', 'online_sports_wagering_win': '6967434', 'federal_excise_tax_3': '143877', 'unadjusted_monthly_gaming': '6823557', 'promotional_coupons_or_credits': '2045623', 'promotional_deduction_5': '1705889', 'total_gross_gaming': '5117667', 'tax_payment_6': '703679', 'notes': '8'}","{""headers"": [""licensee"", ""fiscal_year"", ""month_ending"", ""wagers"", ""patron_winnings"", ""cancelled_wagers"", ""monthly_resettlements"", ""online_sports_wagering_win"", ""federal_excise_tax_3"", ""unadjusted_monthly_gaming""], ""rows"": [[""Mohegan Digital, LLC"", ""2021/22"", ""2021-10-31T00:00:00.000"", ""27082842"", ""26047082"", ""102765"", ""58834"", ""874160"", ""61453"", ""812707""], [""CT Lottery Corp"", ""2021/22"", ""2021-10-31T00:00:00.000"", ""3246536"", ""2901339"", ""41418"", ""10047"", ""293732"", ""8013"", ""285720""], [""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""60031024"", ""52870165"", ""164994"", ""28431"", ""6967434"", ""143877"", ""6823557""], [""Mohegan Digital, LLC"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""58999340"", ""50751107"", ""127550"", ""30748"", ""8089935"", ""140366"", ""7949569""], [""CT Lottery Corp"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""8518887"", ""7660972"", ""99459"", ""-3267"", ""761722"", ""21279"", ""740443""]], ""highlight"": 2}",2026-03-28T18:44:25.414525
CT,2021-11-01,2021-11-30,monthly,"Mohegan Digital, LLC",FanDuel (CT),FanDuel,Flutter Entertainment,online,,5899934000,794956900,824823300,198739200,596217700,5075110700,81979900,14036600,0.1347399648877428,30,False,False,https://data.ct.gov/resource/xf6g-659c.json,,5,,,,,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,,"{'licensee': 'Mohegan Digital, LLC', 'fiscal_year': '2021/22', 'month_ending': '2021-11-30T00:00:00.000', 'wagers': '58999340', 'patron_winnings': '50751107', 'cancelled_wagers': '127550', 'monthly_resettlements': '30748', 'online_sports_wagering_win': '8089935', 'federal_excise_tax_3': '140366', 'unadjusted_monthly_gaming': '7949569', 'promotional_coupons_or_credits': '2725338', 'promotional_deduction_5': '1987392', 'total_gross_gaming': '5962177', 'tax_payment_6': '819799'}","{""headers"": [""licensee"", ""fiscal_year"", ""month_ending"", ""wagers"", ""patron_winnings"", ""cancelled_wagers"", ""monthly_resettlements"", ""online_sports_wagering_win"", ""federal_excise_tax_3"", ""unadjusted_monthly_gaming""], ""rows"": [[""CT Lottery Corp"", ""2021/22"", ""2021-10-31T00:00:00.000"", ""3246536"", ""2901339"", ""41418"", ""10047"", ""293732"", ""8013"", ""285720""], [""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""60031024"", ""52870165"", ""164994"", ""28431"", ""6967434"", ""143877"", ""6823557""], [""Mohegan Digital, LLC"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""58999340"", ""50751107"", ""127550"", ""30748"", ""8089935"", ""140366"", ""7949569""], [""CT Lottery Corp"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""8518887"", ""7660972"", ""99459"", ""-3267"", ""761722"", ""21279"", ""740443""], [""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""68869666"", ""64101091"", ""358976"", ""-4407"", ""4414006"", ""165577"", ""4248429""]], ""highlight"": 2}",2026-03-28T18:44:25.414525
CT,2021-11-01,2021-11-30,monthly,CT Lottery Corp,CT Lottery,Fanatics,Fanatics Inc,online,,851888700,74044300,85791500,18511100,55533200,766097200,7635800,2127900,0.08691780980308812,30,False,False,https://data.ct.gov/resource/xf6g-659c.json,,6,,,,,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,,"{'licensee': 'CT Lottery Corp', 'fiscal_year': '2021/22', 'month_ending': '2021-11-30T00:00:00.000', 'wagers': '8518887', 'patron_winnings': '7660972', 'cancelled_wagers': '99459', 'monthly_resettlements': '-3267', 'online_sports_wagering_win': '761722', 'federal_excise_tax_3': '21279', 'unadjusted_monthly_gaming': '740443', 'promotional_coupons_or_credits': '405253', 'promotional_deduction_5': '185111', 'total_gross_gaming': '555332', 'tax_payment_6': '76358'}","{""headers"": [""licensee"", ""fiscal_year"", ""month_ending"", ""wagers"", ""patron_winnings"", ""cancelled_wagers"", ""monthly_resettlements"", ""online_sports_wagering_win"", ""federal_excise_tax_3"", ""unadjusted_monthly_gaming""], ""rows"": [[""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""60031024"", ""52870165"", ""164994"", ""28431"", ""6967434"", ""143877"", ""6823557""], [""Mohegan Digital, LLC"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""58999340"", ""50751107"", ""127550"", ""30748"", ""8089935"", ""140366"", ""7949569""], [""CT Lottery Corp"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""8518887"", ""7660972"", ""99459"", ""-3267"", ""761722"", ""21279"", ""740443""], [""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""68869666"", ""64101091"", ""358976"", ""-4407"", ""4414006"", ""165577"", ""4248429""], [""Mohegan Digital, LLC"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""63315497"", ""59439866"", ""224237"", ""10397"", ""3640998"", ""153793"", ""3487205""]], ""highlight"": 2}",2026-03-28T18:44:25.414525
CT,2021-12-01,2021-12-31,monthly,"MPI Master Wagering License CT, LLC",DraftKings (CT),DraftKings,DraftKings Inc,online,,6886966600,424842900,476857500,106210700,318632200,6410109100,43811900,16557700,0.06168795707532544,31,False,False,https://data.ct.gov/resource/xf6g-659c.json,,7,,,,,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,,"{'licensee': 'MPI Master Wagering License CT, LLC', 'fiscal_year': '2021/22', 'month_ending': '2021-12-31T00:00:00.000', 'wagers': '68869666', 'patron_winnings': '64101091', 'cancelled_wagers': '358976', 'monthly_resettlements': '-4407', 'online_sports_wagering_win': '4414006', 'federal_excise_tax_3': '165577', 'unadjusted_monthly_gaming': '4248429', 'promotional_coupons_or_credits': '2027294', 'promotional_deduction_5': '1062107', 'total_gross_gaming': '3186322', 'tax_payment_6': '438119', 'notes': '8'}","{""headers"": [""licensee"", ""fiscal_year"", ""month_ending"", ""wagers"", ""patron_winnings"", ""cancelled_wagers"", ""monthly_resettlements"", ""online_sports_wagering_win"", ""federal_excise_tax_3"", ""unadjusted_monthly_gaming""], ""rows"": [[""Mohegan Digital, LLC"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""58999340"", ""50751107"", ""127550"", ""30748"", ""8089935"", ""140366"", ""7949569""], [""CT Lottery Corp"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""8518887"", ""7660972"", ""99459"", ""-3267"", ""761722"", ""21279"", ""740443""], [""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""68869666"", ""64101091"", ""358976"", ""-4407"", ""4414006"", ""165577"", ""4248429""], [""Mohegan Digital, LLC"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""63315497"", ""59439866"", ""224237"", ""10397"", ""3640998"", ""153793"", ""3487205""], [""CT Lottery Corp"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""11385256"", ""10542317"", ""63768"", ""2784"", ""776387"", ""28339"", ""748048""]], ""highlight"": 2}",2026-03-28T18:44:25.414525
CT,2021-12-01,2021-12-31,monthly,"Mohegan Digital, LLC",FanDuel (CT),FanDuel,Flutter Entertainment,online,,6331549700,348720500,387563100,87180100,261540400,5943986600,35961800,15379300,0.05507664261089193,31,False,False,https://data.ct.gov/resource/xf6g-659c.json,,8,,,,,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,,"{'licensee': 'Mohegan Digital, LLC', 'fiscal_year': '2021/22', 'month_ending': '2021-12-31T00:00:00.000', 'wagers': '63315497', 'patron_winnings': '59439866', 'cancelled_wagers': '224237', 'monthly_resettlements': '10397', 'online_sports_wagering_win': '3640998', 'federal_excise_tax_3': '153793', 'unadjusted_monthly_gaming': '3487205', 'promotional_coupons_or_credits': '1574087', 'promotional_deduction_5': '871801', 'total_gross_gaming': '2615404', 'tax_payment_6': '359618'}","{""headers"": [""licensee"", ""fiscal_year"", ""month_ending"", ""wagers"", ""patron_winnings"", ""cancelled_wagers"", ""monthly_resettlements"", ""online_sports_wagering_win"", ""federal_excise_tax_3"", ""unadjusted_monthly_gaming""], ""rows"": [[""CT Lottery Corp"", ""2021/22"", ""2021-11-30T00:00:00.000"", ""8518887"", ""7660972"", ""99459"", ""-3267"", ""761722"", ""21279"", ""740443""], [""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""68869666"", ""64101091"", ""358976"", ""-4407"", ""4414006"", ""165577"", ""4248429""], [""Mohegan Digital, LLC"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""63315497"", ""59439866"", ""224237"", ""10397"", ""3640998"", ""153793"", ""3487205""], [""CT Lottery Corp"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""11385256"", ""10542317"", ""63768"", ""2784"", ""776387"", ""28339"", ""748048""], [""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2022-01-31T00:00:00.000"", ""73721647"", ""67172043"", ""181313"", ""28687"", ""6339605"", ""177370"", ""6162234""]], ""highlight"": 2}",2026-03-28T18:44:25.414525
CT,2021-12-01,2021-12-31,monthly,CT Lottery Corp,CT Lottery,Fanatics,Fanatics Inc,online,,1138525600,74804800,84293900,18701200,56103600,1054231700,7714200,2833900,0.06570322178087168,31,False,False,https://data.ct.gov/resource/xf6g-659c.json,,9,,,,,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,,"{'licensee': 'CT Lottery Corp', 'fiscal_year': '2021/22', 'month_ending': '2021-12-31T00:00:00.000', 'wagers': '11385256', 'patron_winnings': '10542317', 'cancelled_wagers': '63768', 'monthly_resettlements': '2784', 'online_sports_wagering_win': '776387', 'federal_excise_tax_3': '28339', 'unadjusted_monthly_gaming': '748048', 'promotional_coupons_or_credits': '260805', 'promotional_deduction_5': '187012', 'total_gross_gaming': '561036', 'tax_payment_6': '77142'}","{""headers"": [""licensee"", ""fiscal_year"", ""month_ending"", ""wagers"", ""patron_winnings"", ""cancelled_wagers"", ""monthly_resettlements"", ""online_sports_wagering_win"", ""federal_excise_tax_3"", ""unadjusted_monthly_gaming""], ""rows"": [[""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""68869666"", ""64101091"", ""358976"", ""-4407"", ""4414006"", ""165577"", ""4248429""], [""Mohegan Digital, LLC"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""63315497"", ""59439866"", ""224237"", ""10397"", ""3640998"", ""153793"", ""3487205""], [""CT Lottery Corp"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""11385256"", ""10542317"", ""63768"", ""2784"", ""776387"", ""28339"", ""748048""], [""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2022-01-31T00:00:00.000"", ""73721647"", ""67172043"", ""181313"", ""28687"", ""6339605"", ""177370"", ""6162234""], [""Mohegan Digital, LLC"", ""2021/22"", ""2022-01-31T00:00:00.000"", ""61980661"", ""58425620"", ""125392"", ""45392"", ""3384257"", ""150105"", ""3234153""]], ""highlight"": 2}",2026-03-28T18:44:25.414525
CT,2022-01-01,2022-01-31,monthly,"MPI Master Wagering License CT, LLC",DraftKings (CT),DraftKings,DraftKings Inc,online,,7372164700,616223400,654960400,154055900,462167600,6717204300,63548000,17737000,0.08358785039080854,31,False,False,https://data.ct.gov/resource/xf6g-659c.json,,10,,,,,https://data.ct.gov/api/views/xf6g-659c/rows.csv?accessType=DOWNLOAD,,"{'licensee': 'MPI Master Wagering License CT, LLC', 'fiscal_year': '2021/22', 'month_ending': '2022-01-31T00:00:00.000', 'wagers': '73721647', 'patron_winnings': '67172043', 'cancelled_wagers': '181313', 'monthly_resettlements': '28687', 'online_sports_wagering_win': '6339605', 'federal_excise_tax_3': '177370', 'unadjusted_monthly_gaming': '6162234', 'promotional_coupons_or_credits': '2194575', 'promotional_deduction_5': '1540559', 'total_gross_gaming': '4621676', 'tax_payment_6': '635480', 'notes': '8'}","{""headers"": [""licensee"", ""fiscal_year"", ""month_ending"", ""wagers"", ""patron_winnings"", ""cancelled_wagers"", ""monthly_resettlements"", ""online_sports_wagering_win"", ""federal_excise_tax_3"", ""unadjusted_monthly_gaming""], ""rows"": [[""Mohegan Digital, LLC"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""63315497"", ""59439866"", ""224237"", ""10397"", ""3640998"", ""153793"", ""3487205""], [""CT Lottery Corp"", ""2021/22"", ""2021-12-31T00:00:00.000"", ""11385256"", ""10542317"", ""63768"", ""2784"", ""776387"", ""28339"", ""748048""], [""MPI Master Wagering License CT, LLC"", ""2021/22"", ""2022-01-31T00:00:00.000"", ""73721647"", ""67172043"", ""181313"", ""28687"", ""6339605"", ""177370"", ""6162234""], [""Mohegan Digital, LLC"", ""2021/22"", ""2022-01-31T00:00:00.000"", ""61980661"", ""58425620"", ""125392"", ""45392"", ""3384257"", ""150105"", ""3234153""], [""CT Lottery Corp"", ""2021/22"", ""2022-01-31T00:00:00.000"", ""13650304"", ""13009536"", ""11400"", ""13261"", ""616107"", ""34097"", ""582010""]], ""highlight"": 2}",2026-03-28T18:44:25.414525
