state_code,period_start,period_end,period_type,operator_raw,operator_reported,operator_standard,parent_company,channel,sport_category,handle,gross_revenue,standard_ggr,promo_credits,net_revenue,payouts,tax_paid,federal_excise_tax,hold_pct,days_in_period,is_partial_period,data_is_revised,source_file,source_sheet,source_row,source_column,source_page,source_table_index,source_url,source_report_url,source_screenshot,source_raw_line,source_context,scrape_timestamp
DC,2020-07-01,2020-07-31,monthly,"American Wagering, Inc. (dba William Hill)",Caesars (Capital One Arena),Caesars,Caesars Entertainment,combined,,183000,173995,173995,,,9005,17400,,0.950792349726776,31,False,False,DC_2020_07.html,,,,,,https://dclottery.com/olg/financials/july-2020-unaudited,https://dclottery.com/olg/financials,,"American Wagering, Inc. (dba William Hill) | Capital One Arena, 601 F St. NW | 63 | $1,830.00 | $90.05 | $1,739.95 | $174.00 | 95.08%","{""headers"": [""Name of Operator"", ""Location"", ""Number of Wagers"", ""Handle"", ""Prizes and Payouts"", ""Gross Gaming Revenue (GGR)"", ""Tax Revenue"", ""Average Hold Percentages""], ""rows"": [[""American Wagering, Inc. (dba William Hill)"", ""Capital One Arena, 601 F St. NW"", ""63"", ""$1,830.00"", ""$90.05"", ""$1,739.95"", ""$174.00"", ""95.08%""], [""Totals"", """", ""63"", ""$1,830.00"", ""$90.05"", ""$1,739.95"", ""$174.00"", ""95.08%""]], ""highlight"": 0}",2026-04-01T21:10:01.793420
DC,2020-08-01,2020-08-31,monthly,"American Wagering, Inc. (dba William Hill)",Caesars (Capital One Arena),Caesars,Caesars Entertainment,combined,,913040960,142527470,142527470,,,770513490,14252747,,0.15610194530593677,31,False,False,DC_2020_08.html,,,,,,https://dclottery.com/olg/financials/august-2020-unaudited,https://dclottery.com/olg/financials,,"American Wagering, Inc. (dba William Hill) | Capital One Arena, 601 F St. NW | 69,085 | $9,130,409.60 | $7,705,134.90 | $1,425,274.70 | $142,527.47 | 15.61%","{""headers"": [""Name of Operator"", ""Location"", ""Number of Wagers"", ""Handle"", ""Prizes and Payouts"", ""Gross Gaming Revenue (GGR)"", ""Tax Revenue"", ""Average Hold Percentages""], ""rows"": [[""American Wagering, Inc. (dba William Hill)"", ""Capital One Arena, 601 F St. NW"", ""69,085"", ""$9,130,409.60"", ""$7,705,134.90"", ""$1,425,274.70"", ""$142,527.47"", ""15.61%""], [""Totals"", """", ""69,085"", ""$9,130,409.60"", ""$7,705,134.90"", ""$1,425,274.70"", ""$142,527.47"", ""15.61%""]], ""highlight"": 0}",2026-04-01T21:10:02.111864
DC,2020-09-01,2020-09-30,monthly,"American Wagering, Inc. (dba William Hill)",Caesars (Capital One Arena),Caesars,Caesars Entertainment,combined,,1218604161,130540256,130540256,,,1088063905,13054026,,0.10712277224860059,30,False,False,DC_2020_09.html,,,,,,https://dclottery.com/olg/financials/september-2020-unaudited,https://dclottery.com/olg/financials,,"American Wagering, Inc. (dba William Hill) | Capital One Arena, 601 F St. NW | 113,052 | $12,186,041.61 | $10,880,639.05 | $1,305,402.56 | $130,540.26 | 10.71%","{""headers"": [""Name of Operator"", ""Location"", ""Number of Wagers"", ""Handle"", ""Prizes and Payouts"", ""Gross Gaming Revenue (GGR)"", ""Tax Revenue"", ""Average Hold Percentages""], ""rows"": [[""American Wagering, Inc. (dba William Hill)"", ""Capital One Arena, 601 F St. NW"", ""113,052"", ""$12,186,041.61"", ""$10,880,639.05"", ""$1,305,402.56"", ""$130,540.26"", ""10.71%""], [""Totals"", """", ""113,052"", ""$12,186,041.61"", ""$10,880,639.05"", ""$1,305,402.56"", ""$130,540.26"", ""10.71%""]], ""highlight"": 0}",2026-04-01T21:10:02.779891
DC,2020-11-01,2020-11-30,monthly,"American Wagering, Inc. (dba William Hill)",Caesars (Capital One Arena),Caesars,Caesars Entertainment,combined,,1370440659,272852175,272852175,,,1097588484,27285218,,0.19909813183673208,30,False,False,DC_2020_11.html,,,,,,https://dclottery.com/olg/financials/november-2020-unaudited,https://dclottery.com/olg/financials,,"American Wagering, Inc. (dba William Hill) | Capital One Arena, 601 F St. NW | 130,029 | $13,704,406.59 | $10,975,884.84 | $2,728,521.75 | $272,852.18 | 19.91%","{""headers"": [""Name of Operator"", ""Location"", ""Number of Wagers"", ""Handle"", ""Prizes and Payouts"", ""Gross Gaming Revenue (GGR)"", ""Tax Revenue"", ""Average Hold Percentages""], ""rows"": [[""American Wagering, Inc. (dba William Hill)"", ""Capital One Arena, 601 F St. NW"", ""130,029"", ""$13,704,406.59"", ""$10,975,884.84"", ""$2,728,521.75"", ""$272,852.18"", ""19.91%""], [""November Totals"", """", ""130,029"", ""$13,704,406.59"", ""$10,975,884.84"", ""$2,728,521.75"", ""$272,852.18"", ""19.91%""], [""Calendar year Totals"", """", ""457,111.00"", ""49,381,289.55"", ""41,202,582.99"", ""8,178,706.56"", ""817,870.67"", """"]], ""highlight"": 0}",2026-04-01T21:10:03.421216
DC,2020-12-01,2020-12-31,monthly,"American Wagering, Inc. (dba William Hill)",Caesars (Capital One Arena),Caesars,Caesars Entertainment,combined,,1241828063,190143644,190143644,,,1051684419,19014364,,0.15311591810918837,31,False,False,DC_2020_12.html,,,,,,https://dclottery.com/olg/financials/december-2020-unaudited,https://dclottery.com/olg/financials,,"American Wagering, Inc. (dba William Hill) | Capital One Arena, 601 F St. NW | 145,544 | $12,418,280.63 | $10,516,844.19 | $1,901,436.44 | $190,143.64 | 15.31%","{""headers"": [""Name of Operator"", ""Location"", ""Number of Wagers"", ""Handle"", ""Prizes and Payouts"", ""Gross Gaming Revenue (GGR)"", ""Tax Revenue"", ""Average Hold Percentages"", """", """"], ""rows"": [[""American Wagering, Inc. (dba William Hill)"", ""Capital One Arena, 601 F St. NW"", ""145,544"", ""$12,418,280.63"", ""$10,516,844.19"", ""$1,901,436.44"", ""$190,143.64"", ""15.31%"", """", """"], [""December Totals"", """", ""145,544"", ""$12,418,280.63"", ""$10,516,844.19"", ""$1,901,436.44"", ""$190,143.64"", ""15.31%"", """", """"], [""Calendar year Totals"", """", ""602,655.00"", ""61,799,570.18"", ""51,719,427.18"", ""10,080,143.00"", ""1,008,014.31"", """", """", """"]], ""highlight"": 0}",2026-04-01T21:10:04.106938
DC,2021-01-01,2021-01-31,monthly,"American Wagering, Inc. (dba William Hill)",Caesars (Capital One Arena),Caesars,Caesars Entertainment,combined,,1056649813,189210835,189210835,,,867438978,18921084,,0.17906673778969381,31,False,False,DC_2021_01.html,,,,,,https://dclottery.com/olg/financials/january-2021-unaudited,https://dclottery.com/olg/financials,,"American Wagering, Inc. (dba William Hill) | Capital One Arena, 601 F St. NW | 129,558 | $10,566,498.13 | $8,674,389.78 | $1,892,108.35 | $189,210.84 | 17.91%","{""headers"": [""Name of Operator"", ""Location"", ""Number of Wagers"", ""Handle"", ""Prizes and Payouts"", ""Gross Gaming Revenue (GGR)"", ""Tax Revenue"", ""Average Hold Percentages""], ""rows"": [[""American Wagering, Inc. (dba William Hill)"", ""Capital One Arena, 601 F St. NW"", ""129,558"", ""$10,566,498.13"", ""$8,674,389.78"", ""$1,892,108.35"", ""$189,210.84"", ""17.91%""], [""January Totals"", """", ""129,558"", ""$10,566,498.13"", ""$8,674,389.78"", ""$1,892,108.35"", ""$189,210.84"", ""17.91%""], [""Calendar Year 2020 Totals"", """", ""602,655"", ""$61,799,570.18"", ""$51,719,427.18"", ""$10,080,143.00"", ""$1,008,014.31"", """"]], ""highlight"": 0}",2026-04-01T21:10:04.822905
DC,2021-03-01,2021-03-31,monthly,"American Wagering, Inc. (dba William Hill)",Caesars (Capital One Arena),Caesars,Caesars Entertainment,combined,,1143085611,115178997,115178997,,,1027906614,11517900,,0.10076147918548159,31,False,False,DC_2021_03.html,,,,,,https://dclottery.com/olg/financials/march-2021-unaudited,https://dclottery.com/olg/financials,,"American Wagering, Inc. (dba William Hill) | Capital One Arena, 601 F St. NW | 136,480 | $11,430,856.11 | $10,279,066.14 | $1,151,789.97 | $115,179.00 | 10.08%","{""headers"": [""Name of Operator"", ""Location"", ""Number of Wagers"", ""Handle"", ""Prizes and Payouts"", ""Gross Gaming Revenue (GGR)"", ""Tax Revenue"", ""Average Hold Percentages""], ""rows"": [[""American Wagering, Inc. (dba William Hill)"", ""Capital One Arena, 601 F St. NW"", ""136,480"", ""$11,430,856.11"", ""$10,279,066.14"", ""$1,151,789.97"", ""$115,179.00"", ""10.08%""], [""March Totals"", """", ""136,480"", ""$11,430,856.11"", ""$10,279,066.14"", ""$1,151,789.97"", ""$115,179.00"", ""10.08%""], [""Fiscal Year 2021 Totals"", """", ""814,495"", ""$73,623,258.00"", ""$62,498,920.00"", ""$11,124,338.00"", ""$1,112,434.00"", """"]], ""highlight"": 0}",2026-04-01T21:10:05.377035
DC,2021-04-01,2021-04-30,monthly,"American Wagering, Inc. (dba William Hill)",Caesars (Capital One Arena),Caesars,Caesars Entertainment,combined,,800502475,155146788,155146788,,,645355687,15514679,,0.19381175304923323,30,False,False,DC_2021_04.html,,,,,,https://dclottery.com/olg/financials/april-2021-unaudited,https://dclottery.com/olg/financials,,"American Wagering, Inc. (dba William Hill) | Capital One Arena, 601 F St. NW | 100,955 | $8,005,024.75 | $6,453,556.87 | $1,551,467.88 | $155,146.79 | 19.38%","{""headers"": [""Name of Operator"", ""Location"", ""Number of Wagers"", ""Handle"", ""Prizes and Payouts"", ""Gross Gaming Revenue (GGR)"", ""Tax Revenue"", ""Average Hold Percentages""], ""rows"": [[""American Wagering, Inc. (dba William Hill)"", ""Capital One Arena, 601 F St. NW"", ""100,955"", ""$8,005,024.75"", ""$6,453,556.87"", ""$1,551,467.88"", ""$155,146.79"", ""19.38%""], [""April 2021 Totals"", """", ""100,955"", ""$8,005,024.75"", ""$6,453,556.87"", ""$1,551,467.88"", ""$155,146.79"", ""19.38%""], [""Fiscal Year 2021 Totals"", """", ""915,450"", ""$81,628,282.85"", ""$68,952,476.91"", ""$12,675,805.60"", ""$1,267,580.60"", ""15.44%""]], ""highlight"": 0}",2026-04-01T21:10:06.090240
DC,2021-05-01,2021-05-31,monthly,"American Wagering, Inc. (dba William Hill)",Caesars (Capital One Arena),Caesars,Caesars Entertainment,combined,,1067463093,137066929,137066929,,,930396164,13706693,,0.12840437285263595,31,False,False,DC_2021_05.html,,,,,,https://dclottery.com/olg/financials/may-2021-unaudited,https://dclottery.com/olg/financials,,"American Wagering, Inc. (dba William Hill) | Capital One Arena, 601 F St. NW | 108,544 | $10,674,630.93 | $9,303,961.64 | $1,370,669.29 | $137,066.93 | 12.84%","{""headers"": [""Name of Operator"", ""Location"", ""Number of Wagers"", ""Handle"", ""Prizes and Payouts"", ""Gross Gaming Revenue (GGR)"", ""Tax Revenue"", ""Average Hold Percentages""], ""rows"": [[""American Wagering, Inc. (dba William Hill)"", ""Capital One Arena, 601 F St. NW"", ""108,544"", ""$10,674,630.93"", ""$9,303,961.64"", ""$1,370,669.29"", ""$137,066.93"", ""12.84%""], [""May 2021 Totals"", """", ""108,544"", ""$10,674,630.93"", ""$9,303,961.64"", ""$1,370,669.29"", ""$137,066.93"", ""12.84%""], [""Fiscal Year 2021 Totals"", """", ""1,023,994"", ""$92,302,913.78"", ""$78,256,438.55"", ""$14,046,475.23"", ""$1,404,647.53"", ""15.12%""]], ""highlight"": 0}",2026-04-01T21:10:06.711626
DC,2021-08-01,2021-08-31,monthly,"American Wagering, Inc. dba William Hill/Caesars",Caesars,Caesars,Caesars Entertainment,combined,,1008074132,112831707,112831707,,,895242425,11283171,,0.11192798566921267,31,False,False,DC_2021_08.html,,,,,,https://dclottery.com/olg/financials/august-2021-unaudited,https://dclottery.com/olg/financials,,"August 2021 Totals | 108,817 | $10,080,741.32 | $8,952,424.25 | $1,128,317.07 | $112,831.71 | 11.19%","{""headers"": [""Name of Operator"", ""Location"", ""Total Wagers"", ""Handle"", ""Prizes and Payouts"", ""Gross Gaming Revenue (GGR)"", ""Tax Revenue"", ""Average Hold Precentages""], ""rows"": [[""American Wagering, Inc. dba William Hill/Caesars"", ""Capital One Arena, 601 F St. NW"", """", """", """", """", """", """"], [""August 2021 Totals"", """", ""108,817"", ""$10,080,741.32"", ""$8,952,424.25"", ""$1,128,317.07"", ""$112,831.71"", ""11.19%""], [""August 2021 Fiscal Year Totals"", """", ""1,360,614"", ""$128,097,188.84"", ""$110,109,744.64"", ""$17,987,444.20"", ""$1,798,744.44"", ""14.04%""], [""August 2021 Calendar Year Totals"", """", ""940,159"", ""$87,615,899.87"", ""$76,976,181.46"", ""$10,639,718.41"", ""$1,063,971.86"", ""12.54%""]], ""highlight"": 1}",2026-04-01T21:10:07.603974
