state_code,period_start,period_end,period_type,operator_raw,operator_reported,operator_standard,parent_company,channel,sport_category,handle,gross_revenue,standard_ggr,promo_credits,net_revenue,payouts,tax_paid,federal_excise_tax,hold_pct,days_in_period,is_partial_period,data_is_revised,source_file,source_sheet,source_row,source_column,source_page,source_table_index,source_url,source_report_url,source_screenshot,source_raw_line,source_context,scrape_timestamp
MD,2026-01-01,2026-01-31,monthly,Bingo World,Bingo World,Bingo World,Bingo World,retail,,39436586,1079650,1178201,0,1079650,38258385,161947,,0.027376862692931887,31,False,False,MD_2026_01.xlsx,January 2026 SW Data,6,,,,https://www.mdgaming.com/wp-content/uploads/2026/02/January-2026-Sports-Wagering-Data.xlsx,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,MD/screenshots/MD_2026_01_MD_2026_01.png,Bingo World | 2026-01-01 00:00:00 | 394365.86 | 382583.85 | 0.0298758366152689 | 0 | 985.51465 | 10796.495350000008 | 1619.4743025000012 | 49.21,"{""headers"": ["""", ""FYTD"", ""Handle"", ""Prizes Paid"", ""Hold %"", ""Play"", ""Deductions"", ""Taxable Win"", ""to the State"", ""Prizes""], ""rows"": [[""Bingo World"", ""2026-01-01 00:00:00"", ""394365.86"", ""382583.85"", ""0.0298758366152689"", ""0"", ""985.51465"", ""10796.495350000008"", ""1619.4743025000012"", ""49.21""], ["""", ""FYTD"", ""3347055.16"", ""3029204.27"", ""0.09496434172898427"", ""0"", ""8357.097899999999"", ""309493.79210000014"", ""46424.06881499999"", ""11923.25""], [""Canton Gaming / Canton"", ""2026-01-01 00:00:00"", ""0"", ""822.09"", """", ""0"", ""0"", ""0"", ""0"", ""47.31""]], ""highlight"": 0}",2026-03-29T06:26:15.065381
MD,2026-01-01,2026-01-31,monthly,Canton Gaming / Canton,Canton Gaming,Canton Gaming,Canton Gaming,retail,,0,0,-82209,0,0,82209,0,,,31,False,False,MD_2026_01.xlsx,January 2026 SW Data,8,,,,https://www.mdgaming.com/wp-content/uploads/2026/02/January-2026-Sports-Wagering-Data.xlsx,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,MD/screenshots/MD_2026_01_MD_2026_01.png,Canton Gaming / Canton | 2026-01-01 00:00:00 | 0 | 822.09 | 0 | 0 | 0 | 0 | 47.31,"{""headers"": ["""", ""FYTD"", ""Handle"", ""Prizes Paid"", ""Hold %"", ""Play"", ""Deductions"", ""Taxable Win"", ""to the State"", ""Prizes""], ""rows"": [[""Bingo World"", ""2026-01-01 00:00:00"", ""394365.86"", ""382583.85"", ""0.0298758366152689"", ""0"", ""985.51465"", ""10796.495350000008"", ""1619.4743025000012"", ""49.21""], ["""", ""FYTD"", ""3347055.16"", ""3029204.27"", ""0.09496434172898427"", ""0"", ""8357.097899999999"", ""309493.79210000014"", ""46424.06881499999"", ""11923.25""], [""Canton Gaming / Canton"", ""2026-01-01 00:00:00"", ""0"", ""822.09"", """", ""0"", ""0"", ""0"", ""0"", ""47.31""], ["""", ""FYTD"", ""1602653.57"", ""1593097.3900000001"", ""0.005962723434984102"", ""0"", ""3996.6339249999996"", ""52915.226074999926"", ""7937.284736250001"", ""12152.890000000001""], [""Canton Gaming/Pikesville"", ""2026-01-01 00:00:00"", ""0"", ""0"", """", ""0"", ""0"", ""0"", ""0"", ""0""]], ""highlight"": 2}",2026-03-29T06:26:15.065381
MD,2026-01-01,2026-01-31,monthly,Canton Gaming/Pikesville,Canton Gaming Pikesville,Canton Gaming Pikesville,Canton Gaming,retail,,0,0,0,0,0,0,0,,,31,False,False,MD_2026_01.xlsx,January 2026 SW Data,10,,,,https://www.mdgaming.com/wp-content/uploads/2026/02/January-2026-Sports-Wagering-Data.xlsx,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,MD/screenshots/MD_2026_01_MD_2026_01.png,Canton Gaming/Pikesville | 2026-01-01 00:00:00 | 0 | 0 | 0 | 0 | 0 | 0 | 0,"{""headers"": ["""", ""FYTD"", ""Handle"", ""Prizes Paid"", ""Hold %"", ""Play"", ""Deductions"", ""Taxable Win"", ""to the State"", ""Prizes""], ""rows"": [[""Canton Gaming / Canton"", ""2026-01-01 00:00:00"", ""0"", ""822.09"", """", ""0"", ""0"", ""0"", ""0"", ""47.31""], ["""", ""FYTD"", ""1602653.57"", ""1593097.3900000001"", ""0.005962723434984102"", ""0"", ""3996.6339249999996"", ""52915.226074999926"", ""7937.284736250001"", ""12152.890000000001""], [""Canton Gaming/Pikesville"", ""2026-01-01 00:00:00"", ""0"", ""0"", """", ""0"", ""0"", ""0"", ""0"", ""0""], ["""", ""FYTD"", ""69774.99"", ""74386.61"", ""-0.06609273609354864"", ""900"", ""174.437475"", ""159.9725250000056"", ""23.996445000000858"", ""0""], [""Canton Gaming / Towson"", ""2026-01-01 00:00:00"", ""0"", ""0"", """", ""0"", ""0"", ""0"", ""0"", ""0""]], ""highlight"": 2}",2026-03-29T06:26:15.065381
MD,2026-01-01,2026-01-31,monthly,Canton Gaming / Towson,Canton Gaming Towson,Canton Gaming Towson,Canton Gaming,retail,,0,0,0,0,0,0,0,,,31,False,False,MD_2026_01.xlsx,January 2026 SW Data,12,,,,https://www.mdgaming.com/wp-content/uploads/2026/02/January-2026-Sports-Wagering-Data.xlsx,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,MD/screenshots/MD_2026_01_MD_2026_01.png,Canton Gaming / Towson | 2026-01-01 00:00:00 | 0 | 0 | 0 | 0 | 0 | 0 | 0,"{""headers"": ["""", ""FYTD"", ""Handle"", ""Prizes Paid"", ""Hold %"", ""Play"", ""Deductions"", ""Taxable Win"", ""to the State"", ""Prizes""], ""rows"": [[""Canton Gaming/Pikesville"", ""2026-01-01 00:00:00"", ""0"", ""0"", """", ""0"", ""0"", ""0"", ""0"", ""0""], ["""", ""FYTD"", ""69774.99"", ""74386.61"", ""-0.06609273609354864"", ""900"", ""174.437475"", ""159.9725250000056"", ""23.996445000000858"", ""0""], [""Canton Gaming / Towson"", ""2026-01-01 00:00:00"", ""0"", ""0"", """", ""0"", ""0"", ""0"", ""0"", ""0""], ["""", ""FYTD"", ""0"", ""3644.5699999999997"", """", ""0"", ""0"", ""0"", ""0"", ""3215.43""], [""Greenmount OTB"", ""2026-01-01 00:00:00"", ""172038.48"", ""126696.7"", ""0.26355603699823443"", ""0"", ""430.0962"", ""13628.593800000013"", ""2044.2890700000019"", ""647.87""]], ""highlight"": 2}",2026-03-29T06:26:15.065381
MD,2026-01-01,2026-01-31,monthly,Greenmount OTB,Greenmount,Greenmount,Greenmount OTB,retail,,17203848,1362859,4534178,0,1362859,12669670,204429,,0.07921826558802426,31,False,False,MD_2026_01.xlsx,January 2026 SW Data,14,,,,https://www.mdgaming.com/wp-content/uploads/2026/02/January-2026-Sports-Wagering-Data.xlsx,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,MD/screenshots/MD_2026_01_MD_2026_01.png,Greenmount OTB | 2026-01-01 00:00:00 | 172038.48 | 126696.7 | 0.26355603699823443 | 0 | 430.0962 | 13628.593800000013 | 2044.2890700000019 | 647.87,"{""headers"": ["""", ""FYTD"", ""Handle"", ""Prizes Paid"", ""Hold %"", ""Play"", ""Deductions"", ""Taxable Win"", ""to the State"", ""Prizes""], ""rows"": [[""Canton Gaming / Towson"", ""2026-01-01 00:00:00"", ""0"", ""0"", """", ""0"", ""0"", ""0"", ""0"", ""0""], ["""", ""FYTD"", ""0"", ""3644.5699999999997"", """", ""0"", ""0"", ""0"", ""0"", ""3215.43""], [""Greenmount OTB"", ""2026-01-01 00:00:00"", ""172038.48"", ""126696.7"", ""0.26355603699823443"", ""0"", ""430.0962"", ""13628.593800000013"", ""2044.2890700000019"", ""647.87""], ["""", ""FYTD"", ""1229112.01"", ""1077135.89"", ""0.12364708729841482"", ""0"", ""3072.7800249999996"", ""148903.33997500013"", ""22335.501198749997"", ""9294.31""], [""Hollywood Casino"", ""2026-01-01 00:00:00"", ""1040014.18"", ""823155.81"", ""0.20851482044215972"", ""0"", ""2600.0354500000003"", ""214258.33455"", ""32138.7501825"", ""1504.19""]], ""highlight"": 2}",2026-03-29T06:26:15.065381
MD,2026-01-01,2026-01-31,monthly,Hollywood Casino,Hollywood Casino,Caesars,PENN Entertainment,retail,,104001418,21425833,21685837,0,21425833,82315581,3213875,,0.2060148160672194,31,False,False,MD_2026_01.xlsx,January 2026 SW Data,16,,,,https://www.mdgaming.com/wp-content/uploads/2026/02/January-2026-Sports-Wagering-Data.xlsx,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,MD/screenshots/MD_2026_01_MD_2026_01.png,Hollywood Casino | 2026-01-01 00:00:00 | 1040014.18 | 823155.81 | 0.20851482044215972 | 0 | 2600.0354500000003 | 214258.33455 | 32138.7501825 | 1504.19,"{""headers"": ["""", ""FYTD"", ""Handle"", ""Prizes Paid"", ""Hold %"", ""Play"", ""Deductions"", ""Taxable Win"", ""to the State"", ""Prizes""], ""rows"": [[""Greenmount OTB"", ""2026-01-01 00:00:00"", ""172038.48"", ""126696.7"", ""0.26355603699823443"", ""0"", ""430.0962"", ""13628.593800000013"", ""2044.2890700000019"", ""647.87""], ["""", ""FYTD"", ""1229112.01"", ""1077135.89"", ""0.12364708729841482"", ""0"", ""3072.7800249999996"", ""148903.33997500013"", ""22335.501198749997"", ""9294.31""], [""Hollywood Casino"", ""2026-01-01 00:00:00"", ""1040014.18"", ""823155.81"", ""0.20851482044215972"", ""0"", ""2600.0354500000003"", ""214258.33455"", ""32138.7501825"", ""1504.19""], ["""", ""FYTD"", ""5462200.8"", ""4652911.01"", ""0.14816185263639522"", ""0"", ""13655.502"", ""795634.2880000001"", ""119345.14319999999"", ""31352.969999999998""], [""Horseshoe Casino"", ""2026-01-01 00:00:00"", ""850891.23"", ""808789.85"", ""0.04947915610788468"", ""0"", ""2123.978075"", ""39977.401925000006"", ""5996.610288750001"", ""2274.8199999999997""]], ""highlight"": 2}",2026-03-29T06:26:15.065381
MD,2026-01-01,2026-01-31,monthly,Horseshoe Casino,Caesars (Horseshoe),Caesars,Caesars Entertainment,retail,,85089123,3997740,4210138,0,3997740,80878985,599661,,0.046982973370168594,31,False,False,MD_2026_01.xlsx,January 2026 SW Data,18,,,,https://www.mdgaming.com/wp-content/uploads/2026/02/January-2026-Sports-Wagering-Data.xlsx,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,MD/screenshots/MD_2026_01_MD_2026_01.png,Horseshoe Casino | 2026-01-01 00:00:00 | 850891.23 | 808789.85 | 0.04947915610788468 | 0 | 2123.978075 | 39977.401925000006 | 5996.610288750001 | 2274.8199999999997,"{""headers"": ["""", ""FYTD"", ""Handle"", ""Prizes Paid"", ""Hold %"", ""Play"", ""Deductions"", ""Taxable Win"", ""to the State"", ""Prizes""], ""rows"": [[""Hollywood Casino"", ""2026-01-01 00:00:00"", ""1040014.18"", ""823155.81"", ""0.20851482044215972"", ""0"", ""2600.0354500000003"", ""214258.33455"", ""32138.7501825"", ""1504.19""], ["""", ""FYTD"", ""5462200.8"", ""4652911.01"", ""0.14816185263639522"", ""0"", ""13655.502"", ""795634.2880000001"", ""119345.14319999999"", ""31352.969999999998""], [""Horseshoe Casino"", ""2026-01-01 00:00:00"", ""850891.23"", ""808789.85"", ""0.04947915610788468"", ""0"", ""2123.978075"", ""39977.401925000006"", ""5996.610288750001"", ""2274.8199999999997""], ["""", ""FYTD"", ""6159551.199999999"", ""5413241.5"", ""0.12116299966789777"", ""0"", ""15409.993"", ""730899.7069999992"", ""109634.95605"", ""40064.86""], [""Live! Casino"", ""2026-01-01 00:00:00"", ""3023710.25"", ""2700239.25"", ""0.10697817358657298"", ""19840"", ""7269.425625"", ""296361.574375"", ""44454.23615625"", ""7124.75""]], ""highlight"": 2}",2026-03-29T06:26:15.065381
MD,2026-01-01,2026-01-31,monthly,Live! Casino,FanDuel (Live!),FanDuel,Flutter Entertainment,retail,,302371025,29636157,32347100,1984000,29636157,270023925,4445424,,0.09801255593190518,31,False,False,MD_2026_01.xlsx,January 2026 SW Data,20,,,,https://www.mdgaming.com/wp-content/uploads/2026/02/January-2026-Sports-Wagering-Data.xlsx,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,MD/screenshots/MD_2026_01_MD_2026_01.png,Live! Casino | 2026-01-01 00:00:00 | 3023710.25 | 2700239.25 | 0.10697817358657298 | 19840 | 7269.425625 | 296361.574375 | 44454.23615625 | 7124.75,"{""headers"": ["""", ""FYTD"", ""Handle"", ""Prizes Paid"", ""Hold %"", ""Play"", ""Deductions"", ""Taxable Win"", ""to the State"", ""Prizes""], ""rows"": [[""Horseshoe Casino"", ""2026-01-01 00:00:00"", ""850891.23"", ""808789.85"", ""0.04947915610788468"", ""0"", ""2123.978075"", ""39977.401925000006"", ""5996.610288750001"", ""2274.8199999999997""], ["""", ""FYTD"", ""6159551.199999999"", ""5413241.5"", ""0.12116299966789777"", ""0"", ""15409.993"", ""730899.7069999992"", ""109634.95605"", ""40064.86""], [""Live! Casino"", ""2026-01-01 00:00:00"", ""3023710.25"", ""2700239.25"", ""0.10697817358657298"", ""19840"", ""7269.425625"", ""296361.574375"", ""44454.23615625"", ""7124.75""], ["""", ""FYTD"", ""22858330"", ""19831565.15"", ""0.13241408493096396"", ""93825"", ""55646.04250000001"", ""2877293.8075000015"", ""431594.071125"", ""149781""], [""Long Shot's / Betfred"", ""2026-01-01 00:00:00"", ""0"", ""0"", """", ""0"", ""0"", ""0"", ""0"", ""0""]], ""highlight"": 2}",2026-03-29T06:26:15.065381
MD,2026-01-01,2026-01-31,monthly,Long Shot's / Betfred,Betfred,Betfred,Betfred Group,retail,,0,0,0,0,0,0,0,,,31,False,False,MD_2026_01.xlsx,January 2026 SW Data,22,,,,https://www.mdgaming.com/wp-content/uploads/2026/02/January-2026-Sports-Wagering-Data.xlsx,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,MD/screenshots/MD_2026_01_MD_2026_01.png,Long Shot's / Betfred | 2026-01-01 00:00:00 | 0 | 0 | 0 | 0 | 0 | 0 | 0,"{""headers"": ["""", ""FYTD"", ""Handle"", ""Prizes Paid"", ""Hold %"", ""Play"", ""Deductions"", ""Taxable Win"", ""to the State"", ""Prizes""], ""rows"": [[""Live! Casino"", ""2026-01-01 00:00:00"", ""3023710.25"", ""2700239.25"", ""0.10697817358657298"", ""19840"", ""7269.425625"", ""296361.574375"", ""44454.23615625"", ""7124.75""], ["""", ""FYTD"", ""22858330"", ""19831565.15"", ""0.13241408493096396"", ""93825"", ""55646.04250000001"", ""2877293.8075000015"", ""431594.071125"", ""149781""], [""Long Shot's / Betfred"", ""2026-01-01 00:00:00"", ""0"", ""0"", """", ""0"", ""0"", ""0"", ""0"", ""0""], ["""", ""FYTD"", ""0"", ""300"", """", ""0"", ""0"", ""0"", ""0"", ""300""], [""Long Shot's / Caesars"", ""2026-01-01 00:00:00"", ""239670.82"", ""244731.3"", ""-0.02111429334618199"", ""0"", ""625.41705"", ""0.0029500000180284758"", ""0.00044250000273677865"", ""1113.75""]], ""highlight"": 2}",2026-03-29T06:26:15.065381
MD,2026-01-01,2026-01-31,monthly,Long Shot's / Caesars,Caesars (Long Shots),Caesars,Caesars Entertainment,retail,,23967082,0,-506048,0,0,24473130,0,,0.0,31,False,False,MD_2026_01.xlsx,January 2026 SW Data,24,,,,https://www.mdgaming.com/wp-content/uploads/2026/02/January-2026-Sports-Wagering-Data.xlsx,https://www.mdgaming.com/maryland-sports-wagering/revenue-reports/,MD/screenshots/MD_2026_01_MD_2026_01.png,Long Shot's / Caesars | 2026-01-01 00:00:00 | 239670.82 | 244731.3 | -0.02111429334618199 | 0 | 625.41705 | 0.0029500000180284758 | 0.00044250000273677865 | 1113.75,"{""headers"": ["""", ""FYTD"", ""Handle"", ""Prizes Paid"", ""Hold %"", ""Play"", ""Deductions"", ""Taxable Win"", ""to the State"", ""Prizes""], ""rows"": [[""Long Shot's / Betfred"", ""2026-01-01 00:00:00"", ""0"", ""0"", """", ""0"", ""0"", ""0"", ""0"", ""0""], ["""", ""FYTD"", ""0"", ""300"", """", ""0"", ""0"", ""0"", ""0"", ""300""], [""Long Shot's / Caesars"", ""2026-01-01 00:00:00"", ""239670.82"", ""244731.3"", ""-0.02111429334618199"", ""0"", ""625.41705"", ""0.0029500000180284758"", ""0.00044250000273677865"", ""1113.75""], ["""", ""FYTD"", ""1765205.54"", ""1469372.1"", ""0.16759149758843378"", ""0"", ""4378.60385"", ""297140.73614999995"", ""44571.11042250001"", ""5762.89""], [""Maryland Stadium Sub"", ""2026-01-01 00:00:00"", ""396120.08"", ""304452.04"", ""0.23141477705447305"", ""0"", ""990.3002"", ""90677.73980000004"", ""13601.660970000006"", ""2053.1800000000003""]], ""highlight"": 2}",2026-03-29T06:26:15.065381
