state_code,period_start,period_end,period_type,operator_raw,operator_reported,operator_standard,parent_company,channel,sport_category,handle,gross_revenue,standard_ggr,promo_credits,net_revenue,payouts,tax_paid,federal_excise_tax,hold_pct,days_in_period,is_partial_period,data_is_revised,source_file,source_sheet,source_row,source_column,source_page,source_table_index,source_url,source_report_url,source_screenshot,source_raw_line,source_context,scrape_timestamp
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,retail,motorsports,26800,26800,26800,,,,,,1.0,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,retail,baseball,78272,78272,78272,,,,,,1.0,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,retail,basketball,123537125,14763670,14763670,,,108773455,,,0.11950796167548824,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,retail,combat_sports,1092225,551678,551678,,,540547,,,0.5050955618118977,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,retail,football,162048451,10071142,10071142,,,151977309,,,0.06214895568486489,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,retail,hockey,14936461,2779598,2779598,,,12156863,,,0.18609481857851068,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,retail,soccer,2215409,454809,454809,,,1760600,,,0.20529346951285293,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,retail,tennis,1899610,1338312,1338312,,,561298,,,0.7045193487084191,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,retail,parlay,161022453,-3641753,-3641753,,,164664206,,,-0.02261642977206415,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
MO,2026-01-01,2026-01-31,monthly,ALL,TOTAL,TOTAL,,retail,other,5243672,910416,910416,,,4333256,,,0.17362184362408634,31,False,False,SW_Monthly_Financials_0126.xlsx,SPORT DETAIL RETAIL,,,,,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/FY26_SWFinReport/01_Jan/SW Monthly Financials 0126.xlsx,https://www.mgc.dps.mo.gov/SportsWagering/sw_financials/rb_SWFin_main.html,MO/screenshots/MO_2026_04_SW_Monthly_Financials_0126.png,,,2026-04-01T21:14:30.940001
