state_code,period_start,period_end,period_type,operator_raw,operator_reported,operator_standard,parent_company,channel,sport_category,handle,gross_revenue,standard_ggr,promo_credits,net_revenue,payouts,tax_paid,federal_excise_tax,hold_pct,days_in_period,is_partial_period,data_is_revised,source_file,source_sheet,source_row,source_column,source_page,source_table_index,source_url,source_report_url,source_screenshot,source_raw_line,source_context,scrape_timestamp
NV,2010-01-01,2010-01-31,monthly,ALL,TOTAL,TOTAL,,combined,,29390804598,1534200000,1534200000,,,27856604598,103558500,,0.05219999999946922,31,False,False,NV_2010_01_gri.pdf,,,,4,,https://www.gaming.nv.gov/uploadedFiles/gamingnvgov/content/about/gaming-revenue/2010Jan-gri.pdf,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,NV/screenshots/NV_2010_01_NV_2010_01_gri_p1.png,"SPORTS POOL (2) | 185 185 15,342 93.23 5.22 | 185 182 63,474 36.73 6.93 | 196 187 143,782 14.78 5.47 |",,2026-04-01T21:20:23.046795
NV,2010-01-01,2010-01-31,monthly,ALL,TOTAL,TOTAL,,combined,football,16766129032,415800000,415800000,,,16350329032,28066500,,0.02480000000038172,31,False,False,NV_2010_01_gri.pdf,,,,4,,https://www.gaming.nv.gov/uploadedFiles/gamingnvgov/content/about/gaming-revenue/2010Jan-gri.pdf,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,NV/screenshots/NV_2010_01_NV_2010_01_gri_p1.png,"FOOTBALL | 184 184 4,158 325.86 2.48 | 184 184 30,633 18.43 5.21 | 184 184 54,664 97.79 4.81 |",,2026-04-01T21:20:23.046795
NV,2010-01-01,2010-01-31,monthly,ALL,TOTAL,TOTAL,,combined,basketball,11113953488,955800000,955800000,,,10158153488,64516500,,0.08600000000287926,31,False,False,NV_2010_01_gri.pdf,,,,4,,https://www.gaming.nv.gov/uploadedFiles/gamingnvgov/content/about/gaming-revenue/2010Jan-gri.pdf,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,NV/screenshots/NV_2010_01_NV_2010_01_gri_p1.png,"BASKETBALL | 179 179 9,558 15.96 8.60 | 179 179 19,404 28.18 7.73 | 179 179 39,564 -6.98 4.85 |",,2026-04-01T21:20:23.046795
NV,2010-01-01,2010-01-31,monthly,ALL,TOTAL,TOTAL,,combined,baseball,185754986,-32600000,-32600000,,,218354986,,,-0.17549999976851227,31,False,False,NV_2010_01_gri.pdf,,,,4,,https://www.gaming.nv.gov/uploadedFiles/gamingnvgov/content/about/gaming-revenue/2010Jan-gri.pdf,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,NV/screenshots/NV_2010_01_NV_2010_01_gri_p1.png,"BASEBALL | 14 14 -326 22.72 -17.55 | 14 14 -1,400 74.91 -13.77 | 14 14 21,498 -9.38 4.39 |",,2026-04-01T21:20:23.046795
NV,2010-01-01,2010-01-31,monthly,ALL,TOTAL,TOTAL,,combined,parlay,478662680,176100000,176100000,,,302562680,11886750,,0.3679000000584963,31,False,False,NV_2010_01_gri.pdf,,,,4,,https://www.gaming.nv.gov/uploadedFiles/gamingnvgov/content/about/gaming-revenue/2010Jan-gri.pdf,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,NV/screenshots/NV_2010_01_NV_2010_01_gri_p1.png,"SPORTS PARLAY CARDS | 177 177 1,761 272.12 36.79 | 177 177 12,707 56.94 44.47 | 177 177 20,497 2.03 34.11 |",,2026-04-01T21:20:23.046795
NV,2010-01-01,2010-01-31,monthly,ALL,TOTAL,TOTAL,,combined,other,896713615,19100000,19100000,,,877613615,1289250,,0.02130000000055759,31,False,False,NV_2010_01_gri.pdf,,,,4,,https://www.gaming.nv.gov/uploadedFiles/gamingnvgov/content/about/gaming-revenue/2010Jan-gri.pdf,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,NV/screenshots/NV_2010_01_NV_2010_01_gri_p1.png,"OTHER | 191 -87.16 2.13 | 2,131 -26.68 5.45 | 7,558 -33.03 6.01 |",,2026-04-01T21:20:23.046795
NV,2010-02-01,2010-02-28,monthly,ALL,TOTAL,TOTAL,,combined,,22120582121,1064000000,1064000000,,,21056582121,71820000,,0.04809999999909134,28,False,False,NV_2010_02_gri.pdf,,,,4,,https://www.gaming.nv.gov/uploadedFiles/gamingnvgov/content/about/gaming-revenue/2010Feb-gri.pdf,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,NV/screenshots/NV_2010_02_NV_2010_02_gri_p1.png,"SPORTS POOL (2) | 185 185 10,640 19.02 4.81 | 185 184 43,461 54.40 5.63 | 195 187 145,482 3.21 5.58 |",,2026-04-01T21:20:25.838416
NV,2010-02-01,2010-02-28,monthly,ALL,TOTAL,TOTAL,,combined,football,7987593052,321900000,321900000,,,7665693052,21728250,,0.040300000000550854,28,False,False,NV_2010_02_gri.pdf,,,,4,,https://www.gaming.nv.gov/uploadedFiles/gamingnvgov/content/about/gaming-revenue/2010Feb-gri.pdf,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,NV/screenshots/NV_2010_02_NV_2010_02_gri_p1.png,"FOOTBALL | 184 184 3,219 305.06 4.03 | 184 184 19,037 689.18 4.60 | 184 184 57,088 29.17 5.02 |",,2026-04-01T21:20:25.838416
NV,2010-02-01,2010-02-28,monthly,ALL,TOTAL,TOTAL,,combined,basketball,12990171990,528700000,528700000,,,12461471990,35687250,,0.04070000000053887,28,False,False,NV_2010_02_gri.pdf,,,,4,,https://www.gaming.nv.gov/uploadedFiles/gamingnvgov/content/about/gaming-revenue/2010Feb-gri.pdf,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,NV/screenshots/NV_2010_02_NV_2010_02_gri_p1.png,"BASKETBALL | 180 180 5,287 -26.46 4.07 | 180 180 19,122 -4.40 6.07 | 180 180 37,661 -12.05 4.76 |",,2026-04-01T21:20:25.838416
NV,2010-02-01,2010-02-28,monthly,ALL,TOTAL,TOTAL,,combined,baseball,8999743,-7000000,-7000000,,,15999743,,,-0.7777999882885545,28,False,False,NV_2010_02_gri.pdf,,,,4,,https://www.gaming.nv.gov/uploadedFiles/gamingnvgov/content/about/gaming-revenue/2010Feb-gri.pdf,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,NV/screenshots/NV_2010_02_NV_2010_02_gri_p1.png,"BASEBALL | 18 18 -70 27.08 -77.78 | 18 18 -1,434 8.11 -68.46 | 18 18 21,524 -9.32 4.39 |",,2026-04-01T21:20:25.838416
NV,2010-02-01,2010-02-28,monthly,ALL,TOTAL,TOTAL,,combined,parlay,209947644,40100000,40100000,,,169847644,2706750,,0.19099999998094763,28,False,False,NV_2010_02_gri.pdf,,,,4,,https://www.gaming.nv.gov/uploadedFiles/gamingnvgov/content/about/gaming-revenue/2010Feb-gri.pdf,https://www.gaming.nv.gov/about-us/gaming-revenue-information-gri/,NV/screenshots/NV_2010_02_NV_2010_02_gri_p1.png,"SPORTS PARLAY CARDS | 178 178 401 -54.73 19.10 | 178 178 5,094 -2.16 33.26 | 178 178 20,013 -0.73 33.32 |",,2026-04-01T21:20:25.838416
