state_code,period_start,period_end,period_type,operator_raw,operator_reported,operator_standard,parent_company,channel,sport_category,handle,gross_revenue,standard_ggr,promo_credits,net_revenue,payouts,tax_paid,federal_excise_tax,hold_pct,days_in_period,is_partial_period,data_is_revised,source_file,source_sheet,source_row,source_column,source_page,source_table_index,source_url,source_report_url,source_screenshot,source_raw_line,source_context,scrape_timestamp
OH,2023-01-01,2023-01-31,monthly,BELTERRA PARK - BETWAY,Betway,Betway,Digital Gaming USA,online,,78234300,8787000,,11230400,8787000,,,,0.1123164647731238,31,False,False,OH_2023_sports.pdf,,,,2,0,https://dam.assets.ohio.gov/image/upload/v1745842746/casinocontrol.ohio.gov/revenue-reports/December_2023_Sports_Gaming_Revenue_Report.pdf,https://casinocontrol.ohio.gov/about/revenue-reports,OH/screenshots/OH_2023_12_OH_2023_sports_p1.png,"BELTERRA PARK - BETWAY 782,343 6 87,416 7,057 112,304 87,870 87,870",,2026-03-29T06:42:03.534091
OH,2024-12-01,2024-12-31,monthly,BELTERRA PARK - FANDUEL,FanDuel,FanDuel,Flutter Entertainment,retail,,50114400,-11728500,,70000,0,,,,-0.23403452899765337,31,False,False,OH_2024_sports.pdf,,,,13,0,https://dam.assets.ohio.gov/image/upload/v1732715535/casinocontrol.ohio.gov/revenue-reports/2024/2024_Sports_Gaming_Revenue_Report.pdf.pdf,https://casinocontrol.ohio.gov/about/revenue-reports,OH/screenshots/OH_2024_12_OH_2024_sports_p1.png,"BELTERRA PARK - FANDUEL 501,144 6 16,145 2,284 700 (117,285) -",,2026-03-29T06:42:08.511571
OH,2024-11-01,2024-11-30,monthly,HOLLYWOOD TOLEDO,Hollywood Toledo,ESPN Bet,PENN Entertainment,retail,,152342000,24566900,,0,24566900,,,,0.1612615037218889,30,False,False,OH_2024_sports.pdf,,,,12,0,https://dam.assets.ohio.gov/image/upload/v1732715535/casinocontrol.ohio.gov/revenue-reports/2024/2024_Sports_Gaming_Revenue_Report.pdf.pdf,https://casinocontrol.ohio.gov/about/revenue-reports,OH/screenshots/OH_2024_12_OH_2024_sports_p1.png,"HOLLYWOOD TOLEDO 1,523,420 1 ,276,261 1 ,490 - 245,669 245,669",,2026-03-29T06:42:08.511571
OH,2024-11-01,2024-11-30,monthly,HOLLYWOOD GAMING AT MAHONING VALLEY,Hollywood Mahoning Valley,ESPN Bet,PENN Entertainment,retail,,185451500,27500600,,0,27500600,,,,0.14828998417375971,30,False,False,OH_2024_sports.pdf,,,,12,0,https://dam.assets.ohio.gov/image/upload/v1732715535/casinocontrol.ohio.gov/revenue-reports/2024/2024_Sports_Gaming_Revenue_Report.pdf.pdf,https://casinocontrol.ohio.gov/about/revenue-reports,OH/screenshots/OH_2024_12_OH_2024_sports_p1.png,"HOLLYWOOD GAMING AT MAHONING VALLEY 1,854,515 1 ,577,424 2 ,085 - 275,006 275,006",,2026-03-29T06:42:08.511571
OH,2024-11-01,2024-11-30,monthly,HOLLYWOOD GAMING AT DAYTON RACEWAY,Hollywood Dayton,ESPN Bet,PENN Entertainment,retail,,126646500,22572000,,0,22572000,,,,0.17822837583352086,30,False,False,OH_2024_sports.pdf,,,,12,0,https://dam.assets.ohio.gov/image/upload/v1732715535/casinocontrol.ohio.gov/revenue-reports/2024/2024_Sports_Gaming_Revenue_Report.pdf.pdf,https://casinocontrol.ohio.gov/about/revenue-reports,OH/screenshots/OH_2024_12_OH_2024_sports_p1.png,"HOLLYWOOD GAMING AT DAYTON RACEWAY 1,266,465 1 ,040,335 410 - 225,720 225,720",,2026-03-29T06:42:08.511571
OH,2024-11-01,2024-11-30,monthly,HOLLYWOOD COLUMBUS,Hollywood Columbus,ESPN Bet,PENN Entertainment,retail,,328055900,52570500,,0,52570500,,,,0.1602486039726766,30,False,False,OH_2024_sports.pdf,,,,12,0,https://dam.assets.ohio.gov/image/upload/v1732715535/casinocontrol.ohio.gov/revenue-reports/2024/2024_Sports_Gaming_Revenue_Report.pdf.pdf,https://casinocontrol.ohio.gov/about/revenue-reports,OH/screenshots/OH_2024_12_OH_2024_sports_p1.png,"HOLLYWOOD COLUMBUS 3,280,559 2 ,747,168 7 ,686 - 525,705 525,705",,2026-03-29T06:42:08.511571
OH,2024-11-01,2024-11-30,monthly,HARD ROCK CINCINNATI - SEMINOLE HARD ROCK DIGITAL,Hard Rock Bet,Hard Rock Bet,Seminole Tribe / Hard Rock Digital,retail,,191435000,40160400,,0,40160400,,,,0.20978608927312142,30,False,False,OH_2024_sports.pdf,,,,12,0,https://dam.assets.ohio.gov/image/upload/v1732715535/casinocontrol.ohio.gov/revenue-reports/2024/2024_Sports_Gaming_Revenue_Report.pdf.pdf,https://casinocontrol.ohio.gov/about/revenue-reports,OH/screenshots/OH_2024_12_OH_2024_sports_p1.png,"HARD ROCK CINCINNATI - SEMINOLE HARD ROCK DIGITAL 1,914,350 1 ,502,546 10,200 - 401,604 401,604",,2026-03-29T06:42:08.511571
OH,2024-11-01,2024-11-30,monthly,CLEVELAND GUARDIANS - FANATICS,Fanatics,Fanatics,Fanatics Inc,retail,,14195700,2231500,,0,2231500,,,,0.15719548877476983,30,False,False,OH_2024_sports.pdf,,,,12,0,https://dam.assets.ohio.gov/image/upload/v1732715535/casinocontrol.ohio.gov/revenue-reports/2024/2024_Sports_Gaming_Revenue_Report.pdf.pdf,https://casinocontrol.ohio.gov/about/revenue-reports,OH/screenshots/OH_2024_12_OH_2024_sports_p1.png,"CLEVELAND GUARDIANS - FANATICS 1 41,957 119,642 - - 2 2,315 22,315",,2026-03-29T06:42:08.511571
OH,2024-11-01,2024-11-30,monthly,BELTERRA PARK - FANDUEL,FanDuel,FanDuel,Flutter Entertainment,retail,,50765500,10602900,,20000,10602900,,,,0.2088603480710325,30,False,False,OH_2024_sports.pdf,,,,12,0,https://dam.assets.ohio.gov/image/upload/v1732715535/casinocontrol.ohio.gov/revenue-reports/2024/2024_Sports_Gaming_Revenue_Report.pdf.pdf,https://casinocontrol.ohio.gov/about/revenue-reports,OH/screenshots/OH_2024_12_OH_2024_sports_p1.png,"BELTERRA PARK - FANDUEL 5 07,655 400,461 1 ,165 2 00 106,029 106,029",,2026-03-29T06:42:08.511571
OH,2024-11-01,2024-11-30,monthly,SCIOTO DOWNS - CAESARS SPORTSBOOK,Caesars Sportsbook,Caesars,Caesars Entertainment,online,,3523620300,174197400,,45999000,174197400,,,,0.04943705200018288,30,False,False,OH_2024_sports.pdf,,,,12,0,https://dam.assets.ohio.gov/image/upload/v1732715535/casinocontrol.ohio.gov/revenue-reports/2024/2024_Sports_Gaming_Revenue_Report.pdf.pdf,https://casinocontrol.ohio.gov/about/revenue-reports,OH/screenshots/OH_2024_12_OH_2024_sports_p1.png,"SCIOTO DOWNS - CAESARS SPORTSBOOK 35,236,203 3 3,389,190 105,039 4 59,990 1,741,974 1 ,741,974",,2026-03-29T06:42:08.511571
OH,2024-11-01,2024-11-30,monthly,MUIRFIELD VILLAGE GOLF CLUB - PARX INTERACTIVE,BetRivers (Gun Lake),BetRivers,Rush Street Interactive,online,,36162500,129400,,35000,129400,,,,0.0035782924300034567,30,False,False,OH_2024_sports.pdf,,,,12,0,https://dam.assets.ohio.gov/image/upload/v1732715535/casinocontrol.ohio.gov/revenue-reports/2024/2024_Sports_Gaming_Revenue_Report.pdf.pdf,https://casinocontrol.ohio.gov/about/revenue-reports,OH/screenshots/OH_2024_12_OH_2024_sports_p1.png,"MUIRFIELD VILLAGE GOLF CLUB - PARX INTERACTIVE 3 61,625 360,029 302 3 50 1,294 1 ,294",,2026-03-29T06:42:08.511571
OH,2024-11-01,2024-11-30,monthly,MIAMI VALLEY GAMING AND RACING - MVGBET,MVGBet,MVGBet,Independent,online,,50827300,3601600,,1927000,3601600,,,,0.07085955775734694,30,False,False,OH_2024_sports.pdf,,,,12,0,https://dam.assets.ohio.gov/image/upload/v1732715535/casinocontrol.ohio.gov/revenue-reports/2024/2024_Sports_Gaming_Revenue_Report.pdf.pdf,https://casinocontrol.ohio.gov/about/revenue-reports,OH/screenshots/OH_2024_12_OH_2024_sports_p1.png,"MIAMI VALLEY GAMING AND RACING - MVGBET 5 08,273 439,231 33,026 1 9,270 3 6,016 36,016",,2026-03-29T06:42:08.511571
