state,period_end,operator,channel,issue_type,severity,current_value,expected_value,notes,row_index
AZ,2022-06-30,Betway,online,suspicious_hold,LOW,51.02%,Typically 5-15%,May be legitimate for small retail venues,348
AZ,2022-11-30,Fubo Sportsbook (defunct),online,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-18,307.65",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,534
AZ,2024-10-31,SuperBook,online,suspicious_hold,LOW,61.10%,Typically 5-15%,May be legitimate for small retail venues,1315
AZ,2024-11-30,SuperBook,online,suspicious_hold,LOW,76.17%,Typically 5-15%,May be legitimate for small retail venues,1343
AZ,2025-06-30,BetMGM,retail,suspicious_hold,LOW,82.69%,Typically 5-15%,May be legitimate for small retail venues,1522
AZ,2025-08-31,FanDuel,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-63.75",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,1588
AZ,2025-09-30,FanDuel,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-5,089.75",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,1616
AZ,2025-10-31,FanDuel,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-9,028.00",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,1640
AZ,2025-11-30,FanDuel,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-44,359.00",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,1658
AZ,2025-12-31,FanDuel,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-29,136.00",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,1680
CO,2024-10-31,TOTAL,retail,suspicious_hold,LOW,54.71%,Typically 5-15%,May be legitimate for small retail venues,1789
CO,2022-12-31,TOTAL,retail,negative_handle,HIGH,"$-366,418,081.07",>= $0,"Handle is negative: $-366,418,081.07",2034
DC,2020-07-31,Caesars,combined,suspicious_hold,LOW,95.08%,Typically 5-15%,May be legitimate for small retail venues,2564
DC,2023-09-30,Cloakbook,retail,suspicious_hold,LOW,-61.84%,Typically 5-15%,May be legitimate for small retail venues,2673
DC,2023-10-31,Cloakbook,retail,suspicious_hold,LOW,-87.33%,Typically 5-15%,May be legitimate for small retail venues,2678
DC,2024-04-30,Ugly Mug,retail,extreme_hold,HIGH,-137.25%,Between -100% and 100%,Hold of -137.25% is likely erroneous,2713
DC,2024-06-30,Cloakbook,retail,suspicious_hold,LOW,-52.03%,Typically 5-15%,May be legitimate for small retail venues,2725
DC,2024-08-31,Cloakbook,retail,suspicious_hold,LOW,-61.49%,Typically 5-15%,May be legitimate for small retail venues,2737
DC,2024-11-30,Sports & Social,retail,suspicious_hold,LOW,54.72%,Typically 5-15%,May be legitimate for small retail venues,2757
DC,2025-02-28,Cloakbook,retail,extreme_hold,HIGH,-302.84%,Between -100% and 100%,Hold of -302.84% is likely erroneous,2777
IA,2024-01-31,Lakeside Casino,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-4,431.25",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,2906
IA,2024-02-29,Lakeside Casino,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-42,406.70",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,2939
IA,2024-01-31,SCE Partners (defunct),online,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-8,556.41",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,2964
IA,2023-11-30,Lakeside Casino,retail,suspicious_hold,LOW,-74.53%,Typically 5-15%,May be legitimate for small retail venues,2993
IA,2023-12-31,Lakeside Casino,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-3,688.92",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3029
IA,2023-11-30,Elite Hospitality Group,online,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-22,717.52",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3049
IA,2024-05-31,Casino Queen Marquette,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-1,357.41",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3076
IA,2024-05-31,Lakeside Casino,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-2,617.25",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3086
IA,2024-06-30,Casino Queen Marquette,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-400.00",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3094
IA,2024-06-30,Lakeside Casino,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-409.38",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3122
IA,2024-02-29,SCE Partners (defunct),online,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-1,158.13",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3159
IA,2024-03-31,Lakeside Casino,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-1,902.30",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3164
IA,2024-04-30,SCE Partners (defunct),online,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-4,458.09",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3189
IA,2024-04-30,Lakeside Casino,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-1,586.65",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3207
IA,2022-11-30,BlueBet (defunct),online,suspicious_hold,LOW,51.91%,Typically 5-15%,May be legitimate for small retail venues,3215
IA,2022-10-31,Casino Queen Marquette,retail,suspicious_hold,LOW,57.34%,Typically 5-15%,May be legitimate for small retail venues,3219
IA,2022-11-30,SuperBook,online,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-18,903,392.09",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3222
IA,2022-11-30,BetMGM,online,suspicious_hold,LOW,95.48%,Typically 5-15%,May be legitimate for small retail venues,3231
IA,2022-11-30,Casino Queen Marquette,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-4,512.79",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3236
IA,2022-09-30,BetMGM,online,suspicious_hold,LOW,98.01%,Typically 5-15%,May be legitimate for small retail venues,3267
IA,2022-09-30,BlueBet (defunct),online,suspicious_hold,LOW,77.47%,Typically 5-15%,May be legitimate for small retail venues,3268
IA,2022-10-31,BetMGM,online,suspicious_hold,LOW,96.15%,Typically 5-15%,May be legitimate for small retail venues,3281
IA,2022-10-31,BlueBet (defunct),online,suspicious_hold,LOW,64.61%,Typically 5-15%,May be legitimate for small retail venues,3282
IA,2023-02-28,UNKNOWN,online,suspicious_hold,LOW,-57.91%,Typically 5-15%,May be legitimate for small retail venues,3299
IA,2023-01-31,Casino Queen Marquette,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-29.32",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3301
IA,2022-12-31,BlueBet (defunct),online,suspicious_hold,LOW,71.59%,Typically 5-15%,May be legitimate for small retail venues,3337
IA,2022-12-31,BetMGM,online,suspicious_hold,LOW,96.17%,Typically 5-15%,May be legitimate for small retail venues,3356
IA,2022-12-31,Casino Queen Marquette,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-67.27",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3358
IA,2023-08-31,Casino Queen Marquette,retail,extreme_hold,HIGH,-118.53%,Between -100% and 100%,Hold of -118.53% is likely erroneous,3398
IA,2023-08-31,Riverside Casino,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-4,354.37",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3412
IA,2022-08-31,BetMGM,online,suspicious_hold,LOW,100.00%,Typically 5-15%,May be legitimate for small retail venues,3495
IA,2022-08-31,BlueBet (defunct),online,suspicious_hold,LOW,80.54%,Typically 5-15%,May be legitimate for small retail venues,3496
IA,2022-07-31,DraftKings,online,suspicious_hold,LOW,59.82%,Typically 5-15%,May be legitimate for small retail venues,3499
IA,2022-07-31,UNKNOWN,online,suspicious_hold,LOW,93.31%,Typically 5-15%,May be legitimate for small retail venues,3522
IA,2023-07-31,Lakeside Casino,retail,suspicious_hold,LOW,-64.88%,Typically 5-15%,May be legitimate for small retail venues,3534
IA,2024-08-31,Lakeside Casino,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-907.60",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3644
IA,2024-08-31,Casino Queen Marquette,retail,zero_handle_nonzero_ggr,MEDIUM,"Handle $0, GGR $-95.45",Handle > 0 when GGR != 0,Zero handle but non-zero GGR,3653
IA,2024-07-31,Wild Rose Jefferson,retail,suspicious_hold,LOW,53.81%,Typically 5-15%,May be legitimate for small retail venues,3672
