period_end,sport,handle
2026-02-28,Baseball,1436038.5
2026-02-28,Basketball,171637327.54
2026-02-28,Football,19342260.62
2026-02-28,Other,100736731.75
2026-02-28,Parlay,137500422.22
2026-01-31,Baseball,117582.25
2026-01-31,Basketball,160744868.18
2026-01-31,Football,93657306.03
2026-01-31,Other,92557711.86
2026-01-31,Parlay,176176398.79
2025-12-31,Baseball,107185.54
2025-12-31,Basketball,145842232.42
2025-12-31,Football,142745592.82
2025-12-31,Other,73990506.06
2025-12-31,Parlay,181433453.48
2025-11-30,Baseball,2091400.56
2025-11-30,Basketball,159010619.22
2025-11-30,Football,160874513.87
2025-11-30,Other,84532247.79
2025-11-30,Parlay,225511595.4
2025-10-31,Baseball,38238794.09
2025-10-31,Basketball,70141097.81
2025-10-31,Football,169512595.98
2025-10-31,Other,103445887.48
2025-10-31,Parlay,229942837.55
2025-09-30,Baseball,53558562.41
2025-09-30,Basketball,25213675.78
2025-09-30,Football,172044220.92
2025-09-30,Other,94269180.57
2025-09-30,Parlay,186537592.0
2025-08-31,Baseball,72186776.61
2025-08-31,Basketball,37114490.28
2025-08-31,Football,39166134.49
2025-08-31,Other,105052988.64
2025-08-31,Parlay,107281672.81
2025-07-31,Baseball,72783934.17
2025-07-31,Basketball,33089274.96
2025-07-31,Football,3246461.37
2025-07-31,Other,89626439.05
2025-07-31,Parlay,85965640.98
2025-06-30,Baseball,78882188.72
2025-06-30,Basketball,65568682.28
2025-06-30,Football,2646615.75
2025-06-30,Other,95434717.27
2025-06-30,Parlay,108694398.67
2025-05-31,Baseball,76695661.44
2025-05-31,Basketball,112631771.96
2025-05-31,Football,2155349.26
2025-05-31,Other,103271125.74
2025-05-31,Parlay,138212869.17
2025-04-30,Baseball,70824821.27
2025-04-30,Basketball,115024909.13
2025-04-30,Football,2471008.98
2025-04-30,Other,98219941.22
2025-04-30,Parlay,149413263.85
2025-03-31,Baseball,13330903.3
2025-03-31,Basketball,270051909.54
2025-03-31,Football,1416527.49
2025-03-31,Other,90135151.26
2025-03-31,Parlay,178514280.64
2025-02-28,Baseball,1355420.55
