state_code,period_start,period_end,period_type,operator_raw,operator_reported,operator_standard,parent_company,channel,sport_category,handle,gross_revenue,standard_ggr,promo_credits,net_revenue,payouts,tax_paid,federal_excise_tax,hold_pct,days_in_period,is_partial_period,data_is_revised,source_file,source_sheet,source_row,source_column,source_page,source_table_index,source_url,source_report_url,source_screenshot,source_raw_line,source_context,scrape_timestamp
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,other,12484100,-11400,-11400,,,12495500,,,-0.0009131615414807636,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,"Aussie Rules 5 $43 $37 87.31% 12 $8.51 | Darts 739 $25,430 $2,427 9.54% 315 $34.41 | Handball 707 $19,995 $4,053 20.27% 289 $28.28 | Scoreboard Specials 146 $1,815 ($5,155) -283.97% 124 $12.43 | Snooker & Pool 325 $7,829 ($2,373) -30.32% 195 $24.09 | Volleyball 1,756 $69,729 $897 1.29% 478 $39.71",,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,baseball,90000,10300,10300,,,79700,,,0.11444444444444445,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,Baseball 75 $900 $103 11.40% 48 $12.00,,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,basketball,1234941100,73013700,73013700,,,1161927400,,,0.059123224581318086,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,"BasketBall 430,183 $12,349,411 $730,137 5.91% 14,251 $28.71",,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,boxing,401300,111000,111000,,,290300,,,0.2766010465985547,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,"Boxing 395 $4,013 $1,110 27.65% 237 $10.16",,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,cricket,2605000,409300,409300,,,2195700,,,0.15712092130518235,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,"Cricket 1,424 $26,050 $4,093 15.71% 634 $18.29",,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,football,477653200,58050900,58050900,,,419602300,,,0.12153357289347166,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,"Football 184,875 $4,776,532 $580,509 12.15% 18,620 $25.84",,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,golf,9554500,2130100,2130100,,,7424400,,,0.2229420691820608,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,"Golf 9,284 $95,545 $21,301 22.29% 1,563 $10.29",,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,hockey,96121100,5974000,5974000,,,90147100,,,0.06215076606489106,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,"Ice Hockey 48,465 $961,211 $59,740 6.22% 3,823 $19.83",,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,mma,28579200,9875300,9875300,,,18703900,,,0.3455415127085433,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,"MMA 18,098 $285,792 $98,753 34.55% 5,327 $15.79",,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,motorsports,42600,4300,4300,,,38300,,,0.10093896713615023,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,Motor Racing 17 $426 $43 10.00% 14 $25.06,,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,rugby,647200,193900,193900,,,453300,,,0.2995982694684796,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,"Rugby League 20 $343 ($61) -17.82% 19 $17.14 | Rugby Union 280 $6,129 $2,000 32.64% 185 $21.89",,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,soccer,108854100,15630100,15630100,,,93224000,,,0.1435876094699235,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,"Soccer 47,587 $1,088,541 $156,301 14.36% 2,896 $22.87",,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,tennis,143186000,11989000,11989000,,,131197000,,,0.08373025295769139,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,"Tennis 44,695 $1,431,860 $119,890 8.37% 2,702 $32.04",,2026-03-28T20:12:08.066896
OR,2020-01-01,2020-01-31,monthly,DraftKings,DraftKings,DraftKings,DraftKings Inc,online,,2115159400,177380500,177380500,,,1937778900,,,0.08386152835573527,31,False,False,OR_2020_01.pdf,,,,,,https://digitalcollections.library.oregon.gov/assets/displaypdf/263113,https://digitalcollections.library.oregon.gov/nodes/view/224705,OR/screenshots/OR_2020_01_OR_2020_01_p1.png,,,2026-03-28T20:12:08.066896
