state_code,period_start,period_end,period_type,operator_raw,operator_reported,operator_standard,parent_company,channel,sport_category,handle,gross_revenue,standard_ggr,promo_credits,net_revenue,payouts,tax_paid,federal_excise_tax,hold_pct,days_in_period,is_partial_period,data_is_revised,source_file,source_sheet,source_row,source_column,source_page,source_table_index,source_url,source_report_url,source_screenshot,source_raw_line,source_context,scrape_timestamp
SD,2024-09-01,2024-09-30,monthly,Deadwood Casinos,Deadwood Casinos,Deadwood Casinos,Deadwood Gaming Association,retail,boxing,41000,7425,7425,,,33575,668,,0.18109756097560975,30,False,False,SD_2024_09.pdf,,,,,,https://dor.sd.gov/media/vdpn2yj0/september-2024-gaming-stats.pdf,https://dor.sd.gov/businesses/gaming/,SD/screenshots/SD_2024_09_SD_2024_09_p1.png,BOXING $410.00 $74.25 81.89%,,2026-04-03T02:04:02.798213
SD,2024-09-01,2024-09-30,monthly,Deadwood Casinos,Deadwood Casinos,Deadwood Casinos,Deadwood Gaming Association,retail,other,677696,78166,78166,,,599530,7035,,0.11534080177542733,30,False,False,SD_2024_09.pdf,,,,,,https://dor.sd.gov/media/vdpn2yj0/september-2024-gaming-stats.pdf,https://dor.sd.gov/businesses/gaming/,SD/screenshots/SD_2024_09_SD_2024_09_p1.png,"CFL $6,776.96 $781.66 88.47%",,2026-04-03T02:04:02.798213
SD,2024-09-01,2024-09-30,monthly,Deadwood Casinos,Deadwood Casinos,Deadwood Casinos,Deadwood Gaming Association,retail,motorsports,371640,-119785,-119785,,,491425,0,,-0.3223146055322355,30,False,False,SD_2024_09.pdf,,,,,,https://dor.sd.gov/media/vdpn2yj0/september-2024-gaming-stats.pdf,https://dor.sd.gov/businesses/gaming/,SD/screenshots/SD_2024_09_SD_2024_09_p1.png,"FORMULA 1 $762.40 ($775.85) 201.76% | NASCAR $2,954.00 ($422.00) 114.29%",,2026-04-03T02:04:02.798213
SD,2024-09-01,2024-09-30,monthly,Deadwood Casinos,Deadwood Casinos,Deadwood Casinos,Deadwood Gaming Association,retail,baseball,17918741,3139879,3139879,,,14778862,282589,,0.17522877304828502,30,False,False,SD_2024_09.pdf,,,,,,https://dor.sd.gov/media/vdpn2yj0/september-2024-gaming-stats.pdf,https://dor.sd.gov/businesses/gaming/,SD/screenshots/SD_2024_09_SD_2024_09_p1.png,"MLB $179,187.41 $31,398.79 82.48%",,2026-04-03T02:04:02.798213
SD,2024-09-01,2024-09-30,monthly,Deadwood Casinos,Deadwood Casinos,Deadwood Casinos,Deadwood Gaming Association,retail,mma,2804370,2032318,2032318,,,772052,182909,,0.7246968124748161,30,False,False,SD_2024_09.pdf,,,,,,https://dor.sd.gov/media/vdpn2yj0/september-2024-gaming-stats.pdf,https://dor.sd.gov/businesses/gaming/,SD/screenshots/SD_2024_09_SD_2024_09_p1.png,"MMA/UFC $28,043.70 $20,323.18 27.53%",,2026-04-03T02:04:02.798213
SD,2024-09-01,2024-09-30,monthly,Deadwood Casinos,Deadwood Casinos,Deadwood Casinos,Deadwood Gaming Association,retail,basketball,2035298,1508684,1508684,,,526614,135782,,0.7412595108922625,30,False,False,SD_2024_09.pdf,,,,,,https://dor.sd.gov/media/vdpn2yj0/september-2024-gaming-stats.pdf,https://dor.sd.gov/businesses/gaming/,SD/screenshots/SD_2024_09_SD_2024_09_p1.png,"NBA $10,102.98 $10,363.58 -2.58% | WNBA $10,250.00 $4,723.26 53.92%",,2026-04-03T02:04:02.798213
SD,2024-09-01,2024-09-30,monthly,Deadwood Casinos,Deadwood Casinos,Deadwood Casinos,Deadwood Gaming Association,retail,football_college,26841062,1827327,1827327,,,25013735,164459,,0.06807953425985902,30,False,False,SD_2024_09.pdf,,,,,,https://dor.sd.gov/media/vdpn2yj0/september-2024-gaming-stats.pdf,https://dor.sd.gov/businesses/gaming/,SD/screenshots/SD_2024_09_SD_2024_09_p1.png,"NCAA FB $268,410.62 $18,273.27 93.19%",,2026-04-03T02:04:02.798213
SD,2024-09-01,2024-09-30,monthly,Deadwood Casinos,Deadwood Casinos,Deadwood Casinos,Deadwood Gaming Association,retail,basketball_college,30900,-148219,-148219,,,179119,0,,-4.796731391585761,30,False,False,SD_2024_09.pdf,,,,,,https://dor.sd.gov/media/vdpn2yj0/september-2024-gaming-stats.pdf,https://dor.sd.gov/businesses/gaming/,SD/screenshots/SD_2024_09_SD_2024_09_p1.png,"NCAA Mens BB $309.00 ($1,482.19) 579.67%",,2026-04-03T02:04:02.798213
SD,2024-09-01,2024-09-30,monthly,Deadwood Casinos,Deadwood Casinos,Deadwood Casinos,Deadwood Gaming Association,retail,football,44038625,12738316,12738316,,,31300309,1146448,,0.2892532634704194,30,False,False,SD_2024_09.pdf,,,,,,https://dor.sd.gov/media/vdpn2yj0/september-2024-gaming-stats.pdf,https://dor.sd.gov/businesses/gaming/,SD/screenshots/SD_2024_09_SD_2024_09_p1.png,"NFL $440,386.25 $127,383.16 71.07%",,2026-04-03T02:04:02.798213
SD,2024-09-01,2024-09-30,monthly,Deadwood Casinos,Deadwood Casinos,Deadwood Casinos,Deadwood Gaming Association,retail,hockey,74940,30755,30755,,,44185,2768,,0.4103949826527889,30,False,False,SD_2024_09.pdf,,,,,,https://dor.sd.gov/media/vdpn2yj0/september-2024-gaming-stats.pdf,https://dor.sd.gov/businesses/gaming/,SD/screenshots/SD_2024_09_SD_2024_09_p1.png,NHL $749.40 $307.55 58.96%,,2026-04-03T02:04:02.798213
