state,year,rg_handle,rg_ggr,our_handle,our_ggr,handle_diff_pct,ggr_diff_pct,analysis,primary_diff
AR,2019,,,0.0,0.0,,,Differs — needs investigation,no_comparison
AR,2020,,,0.0,0.0,,,Differs — needs investigation,no_comparison
AR,2021,,,0.0,0.0,,,Differs — needs investigation,no_comparison
AR,2022,,,0.0,0.0,,,Differs — needs investigation,no_comparison
AR,2023,,,0.0,0.0,,,Differs — needs investigation,no_comparison
AR,2024,,,0.0,0.0,,,Differs — needs investigation,no_comparison
AR,2025,,,0.0,0.0,,,Differs — needs investigation,no_comparison
AR,2026,,,0.0,0.0,,,Differs — needs investigation,no_comparison
AR,February,9543904.0,1240707.0,,,,,We have no handle data for this period,no_comparison
AR,January,10459315.0,1359710.0,,,,,We have no handle data for this period,no_comparison
AZ,2021,1743249640.0,59552840.0,1743249641.0,156823848.0,0.0,163.3,Handle matches but GGR differs,ggr
AZ,2022,6036844930.0,289146940.0,6032414314.0,472097265.0,-0.1,63.3,Handle matches but GGR differs,ggr
AZ,2023,6573800272.0,348185390.0,6560686762.0,544202318.0,-0.2,56.3,Handle matches but GGR differs,ggr
AZ,2024,7959647194.0,427397087.0,7951271966.0,693460200.0,-0.1,62.3,Handle matches but GGR differs,ggr
AZ,2025,9127994532.0,622816672.0,9127989473.0,819608033.0,-0.0,31.6,Handle matches but GGR differs,ggr
DC,2020,80483898.0,13493278.0,,,,,We have no handle data for this period,no_comparison
DC,2021,203294161.0,26874974.0,,,,,We have no handle data for this period,no_comparison
DC,2022,216232122.0,23209854.0,110922921.0,12836265.0,-48.7,-44.7,Our data likely incomplete (missing months or operators),handle
DC,2023,169771690.0,19048327.0,103366226.0,11733605.0,-39.1,-38.4,Our data likely incomplete (missing months or operators),handle
DC,2024,461560894.0,53717642.0,355869172.0,38122434.0,-22.9,-29.0,Our GGR data likely incomplete,ggr
DC,2025,855597166.0,94671771.0,855596777.0,94488149.0,-0.0,-0.2,MATCH,ggr
DC,2026,,,143735888.0,14639399.0,,,Differs — needs investigation,no_comparison
DE,2022,82472393.0,8884122.0,,,,,We have no handle data for this period,no_comparison
DE,2023,65326809.0,10003849.0,,,,,We have no handle data for this period,no_comparison
