state,month,screenshot_handle_M,our_handle_M,screenshot_ggr_M,our_ggr_M,screenshot_hold_pct,our_hold_pct,handle_diff_pct,ggr_diff_pct,analysis
AZ,2025-11,965.2,965.2,54.6,80.9,5.7,8.4,0.0,48.2,Differs
AZ,2025-12,822.1,822.1,65.9,85.4,8.0,10.4,0.0,29.6,Differs
AZ,2026-01,,,,,,,,,No screenshot data
CO,2025-11,694.6,694.6,58.6,58.6,8.4,8.4,0.0,0.0,MATCH
CO,2025-12,614.8,618.4,59.6,59.6,9.7,9.6,0.6,0.0,MATCH
CO,2026-01,,630.2,,57.8,,9.2,,,No screenshot data
CT,2025-11,262.9,272.3,32.2,32.6,12.2,12.0,3.6,1.2,Close
CT,2025-12,227.6,234.8,30.6,30.6,13.4,13.0,3.2,0.0,Close
CT,2026-01,237.3,237.3,25.8,25.2,10.9,10.6,0.0,-2.3,MATCH
DC,2025-11,89.0,89.0,11.7,11.7,13.2,13.2,0.0,0.0,MATCH
DC,2025-12,69.3,69.3,9.7,9.7,14.1,14.1,0.0,0.0,MATCH
DC,2026-01,76.1,76.1,8.8,8.8,11.6,11.6,0.0,0.0,MATCH
DE,2025-11,31.2,31.2,6.6,4.1,21.2,13.0,0.0,-37.9,Differs
DE,2025-12,23.7,23.7,3.0,3.0,12.8,12.8,0.0,0.0,MATCH
DE,2026-01,22.2,22.2,3.5,2.1,15.9,9.6,0.0,-40.0,Differs
IA,2025-11,321.0,321.0,31.4,31.4,9.8,9.8,0.0,0.0,MATCH
IA,2025-12,275.6,275.6,30.1,30.1,10.9,10.9,0.0,0.0,MATCH
IA,2026-01,262.3,262.3,27.8,27.8,10.6,10.6,0.0,0.0,MATCH
IL,2025-11,1671.6,1667.1,164.2,159.9,9.8,9.6,-0.3,-2.6,MATCH
IL,2025-12,1442.4,1435.6,158.9,152.2,11.0,10.6,-0.5,-4.2,MATCH
IL,2026-01,,1429.5,,129.6,,9.1,,,No screenshot data
IN,2025-11,641.0,641.0,69.1,68.1,10.8,10.6,0.0,-1.4,MATCH
IN,2025-12,544.4,544.4,65.0,66.0,11.9,12.1,0.0,1.5,MATCH
IN,2026-01,523.4,523.4,49.3,49.1,9.4,9.4,0.0,-0.4,MATCH
KS,2025-11,297.1,297.1,30.1,30.1,10.1,10.1,0.0,0.0,MATCH
KS,2025-12,240.7,240.7,22.1,22.1,9.2,9.2,0.0,0.0,MATCH
KS,2026-01,227.3,227.3,15.2,15.2,6.7,6.7,0.0,0.0,MATCH
KY,2025-11,333.6,333.6,46.7,46.7,14.0,14.0,0.0,0.0,MATCH
